r1	r2	a11	a12	a21	a22	N1	N2	Coexistence	Crossing	PGR>0
15	11	0.7	0.1	0.1	0.1	6.669033890132721	93.32998636523881	1	0	1
15	11	0.7	0.1	0.1	0.30000000000000004	16.001114092564105	27.998364730707586	1	0	1
15	11	0.7	0.1	0.1	0.5000000000000001	17.647505215103763	16.469921245872662	1	0	1
15	11	0.7	0.1	0.1	0.7000000000000001	18.332472864061554	11.667957642334523	1	0	1
15	11	0.7	0.1	0.1	0.9000000000000001	18.70872662251599	9.033691609892431	1	0	1
15	11	0.7	0.1	0.30000000000000004	0.1	10.001081716184158	69.99542647602887	1	0	1
15	11	0.7	0.1	0.30000000000000004	0.30000000000000004	17.777288750047187	15.557638917762539	1	0	1
15	11	0.7	0.1	0.30000000000000004	0.5000000000000001	18.749428972129323	8.752435382597499	1	0	1
15	11	0.7	0.1	0.30000000000000004	0.7000000000000001	19.129976973851594	6.088909930063466	1	0	1
15	11	0.7	0.1	0.30000000000000004	0.9000000000000001	19.33276913619619	4.669074334277681	1	0	1
15	11	0.7	0.1	0.5000000000000001	0.1	19.53062415867169	3.2558244119954494	1	0	0
15	11	0.7	0.1	0.5000000000000001	0.30000000000000004	19.931495194693206	0.4744641325432531	1	0	0
15	11	0.7	0.1	0.5000000000000001	0.5000000000000001	19.963138675006356	0.2552775113596016	1	0	0
15	11	0.7	0.1	0.5000000000000001	0.7000000000000001	19.97479287967662	0.1745625986993436	1	0	0
15	11	0.7	0.1	0.5000000000000001	0.9000000000000001	19.980849815135066	0.1326154965852887	1	0	0
15	11	0.7	0.1	0.7000000000000001	0.1	19.99932316123465	0.0033841938267690098	0	0	0
15	11	0.7	0.1	0.7000000000000001	0.30000000000000004	19.999337046107065	0.0033145414313432613	0	0	0
15	11	0.7	0.1	0.7000000000000001	0.5000000000000001	19.999388741380443	0.0030559054019011563	0	0	0
15	11	0.7	0.1	0.7000000000000001	0.7000000000000001	19.999371233832473	0.0031432155383884003	0	0	0
15	11	0.7	0.1	0.7000000000000001	0.9000000000000001	19.99931206679911	0.0034386840134792455	0	0	0
15	11	0.7	0.1	0.9000000000000001	0.1	19.999469005150562	0.002040152340059943	0	0	0
15	11	0.7	0.1	0.9000000000000001	0.30000000000000004	19.99964050658971	0.0013811747506288134	0	0	0
15	11	0.7	0.1	0.9000000000000001	0.5000000000000001	19.99953155507037	0.0017996787745198208	0	0	0
15	11	0.7	0.1	0.9000000000000001	0.7000000000000001	19.999624290162338	0.0014433820006576998	0	0	0
15	11	0.7	0.1	0.9000000000000001	0.9000000000000001	19.999458498220704	0.0020801287197684593	0	0	0
15	11	0.7	0.30000000000000004	0.1	0.1	0.0004951240139599498	99.9988545406001	0	0	0
15	11	0.7	0.30000000000000004	0.1	0.30000000000000004	6.6704903921566165	31.109308845884385	1	0	1
15	11	0.7	0.30000000000000004	0.1	0.5000000000000001	12.501278166948985	17.499387302470094	1	0	1
15	11	0.7	0.30000000000000004	0.1	0.7000000000000001	14.78162584696689	12.17438955463211	1	0	1
15	11	0.7	0.30000000000000004	0.1	0.9000000000000001	15.998435324293364	9.334098229486083	1	0	1
15	11	0.7	0.30000000000000004	0.30000000000000004	0.1	0.0002701376393109609	99.99812517913722	0	0	0
15	11	0.7	0.30000000000000004	0.30000000000000004	0.30000000000000004	10.003517006519344	23.32837616791309	1	1	1
15	11	0.7	0.30000000000000004	0.30000000000000004	0.5000000000000001	15.382586316497255	10.772104143000849	1	0	1
15	11	0.7	0.30000000000000004	0.30000000000000004	0.7000000000000001	16.998386179092893	7.0022893365906285	1	0	1
15	11	0.7	0.30000000000000004	0.30000000000000004	0.9000000000000001	17.77618847870789	5.187441636149945	1	0	1
15	11	0.7	0.30000000000000004	0.5000000000000001	0.1	0.00011935803722901419	99.99861938249755	0	0	0
15	11	0.7	0.30000000000000004	0.5000000000000001	0.30000000000000004	19.454748159734187	1.2588640010042453	1	0	0
15	11	0.7	0.30000000000000004	0.5000000000000001	0.5000000000000001	19.832187768600686	0.3873370925106524	1	0	0
