r1,r2,a11,a12,a21,a22,N1,N2,FE1,S1,FE2,S2,Rank,Coexist,Asy,cor_sos,Rare,PGR1,PGR2,A1,A2,B,C
17,17,2,0.1,0.1,0.7,6.90647482014389,21.8705035971223,1,5.17391304347826,,,,,,,,,,,,,
18,17,2,0.1,0.1,0.7,7.41007194244604,21.7985611510791,1.05882352941176,5.17391304347826,,,,,,,,,,,,,
19,17,2,0.1,0.1,0.7,7.9136690647482,21.726618705036,1.11764705882353,5.17391304347826,,,,,,,,,,,,,
20,17,2,0.1,0.1,0.7,8.41726618705036,21.6546762589928,1.17647058823529,5.17391304347826,,,,,,,,,,,,,
15,17,2.5,0.1,0.1,0.7,4.71264367816092,22.183908045977,0.882352941176471,5.17391304347826,,,,,,,,,,,,,
16,17,2.5,0.1,0.1,0.7,5.11494252873563,22.1264367816092,0.941176470588235,5.17391304347826,,,,,,,,,,,,,
17,17,2.5,0.1,0.1,0.7,5.51724137931034,22.0689655172414,1,5.17391304347826,,,,,,,,,,,,,
18,17,2.5,0.1,0.1,0.7,5.91954022988506,22.0114942528736,1.05882352941176,5.17391304347826,,,,,,,,,,,,,
19,17,2.5,0.1,0.1,0.7,6.32183908045977,21.9540229885058,1.11764705882353,5.17391304347826,,,,,,,,,,,,,
20,17,2.5,0.1,0.1,0.7,6.72413793103448,21.8965517241379,1.17647058823529,5.17391304347826,,,,,,,,,,,,,
15,17,3,0.1,0.1,0.7,3.92344497607655,22.2966507177034,0.882352941176471,5.17391304347826,,,,,,,,,,,,,
16,17,3,0.1,0.1,0.7,4.25837320574163,22.2488038277512,0.941176470588235,5.17391304347826,,,,,,,,,,,,,
17,17,3,0.1,0.1,0.7,4.5933014354067,22.200956937799,1,5.17391304347826,,,,,,,,,,,,,
18,17,3,0.1,0.1,0.7,4.92822966507177,22.1531100478469,1.05882352941176,5.17391304347826,,,,,,,,,,,,,
19,17,3,0.1,0.1,0.7,5.26315789473684,22.1052631578947,1.11764705882353,5.17391304347826,,,,,,,,,,,,,
20,17,3,0.1,0.1,0.7,5.59808612440191,22.0574162679426,1.17647058823529,5.17391304347826,,,,,,,,,,,,,
15,17,0.1,0.1,0.3,0.7,140,0,0.882352941176471,5.17391304347826,,,,,,,,,,,,,
16,17,0.1,0.1,0.3,0.7,150,0,0.941176470588235,5.17391304347826,,,,,,,,,,,,,
17,17,0.1,0.1,0.3,0.7,160,0,1,5.17391304347826,,,,,,,,,,,,,
18,17,0.1,0.1,0.3,0.7,170,0,1.05882352941176,5.17391304347826,,,,,,,,,,,,,
19,17,0.1,0.1,0.3,0.7,180,0,1.11764705882353,5.17391304347826,,,,,,,,,,,,,
20,17,0.1,0.1,0.3,0.7,190,0,1.17647058823529,5.17391304347826,,,,,,,,,,,,,
15,17,0.3,0.1,0.3,0.7,45.5555555555556,3.33333333333333,0.882352941176471,5.17391304347826,,,,,,,,,,,,,
16,17,0.3,0.1,0.3,0.7,49.4444444444444,1.66666666666667,0.941176470588235,5.17391304347826,,,,,,,,,,,,,
17,17,0.3,0.1,0.3,0.7,53.3333333333333,0,1,5.17391304347826,,,,,,,,,,,,,
18,17,0.3,0.1,0.3,0.7,56.6666666666667,0,1.05882352941176,5.17391304347826,,,,,,,,,,,,,
19,17,0.3,0.1,0.3,0.7,60,0,1.11764705882353,5.17391304347826,,,,,,,,,,,,,
20,17,0.3,0.1,0.3,0.7,63.3333333333333,0,1.17647058823529,5.17391304347826,,,,,,,,,,,,,
15,17,0.5,0.1,0.3,0.7,25.625,11.875,0.882352941176471,5.17391304347826,,,,,,,,,,,,,
16,17,0.5,0.1,0.3,0.7,27.8125,10.9375,0.941176470588235,5.17391304347826,,,,,,,,,,,,,
17,17,0.5,0.1,0.3,0.7,30,10,1,5.17391304347826,,,,,,,,,,,,,
18,17,0.5,0.1,0.3,0.7,32.1875,9.0625,1.05882352941176,5.17391304347826,,,,,,,,,,,,,
19,17,0.5,0.1,0.3,0.7,34.375,8.125,1.11764705882353,5.17391304347826,,,,,,,,,,,,,
20,17,0.5,0.1,0.3,0.7,36.5625,7.1875,1.17647058823529,5.17391304347826,,,,,,,,,,,,,
15,17,0.7,0.1,0.3,0.7,17.8260869565217,15.2173913043478,0.882352941176471,5.17391304347826,,,,,,,,,,,,,
16,17,0.7,0.1,0.3,0.7,19.3478260869565,14.5652173913043,0.941176470588235,5.17391304347826,,,,,,,,,,,,,
