r1,r2,a11,a22,a12,a21,valid_outcome,coexistence,competitive_exclusion,has_rare_species,nu,nu_CE
9.14628762357152,4.643375504149598,0.7738069746880524,1.9021823769826325,2.657746794989767,2.1269023453606715,True,False,True,True,1.9548219194693828,52.449771623914415
14.651236942904555,16.28525355203462,1.192699870152846,2.704698084354261,0.3176050695847531,2.5448308243139914,True,False,True,True,30.562513950658875,244.76368064072176
18.05555349157891,18.4913738620916,0.22921560524365422,2.55857734878498,1.158050004224102,1.6024406983281092,True,False,True,True,71.56543310647535,2655.7952425277526
10.959647123157662,1.3177610409836218,0.42216250927065874,0.08195678850809164,0.9439756499161386,0.21263065281182394,True,False,True,True,-18.15227902018559,339.3837068043786
9.53930139962154,12.19038360807471,0.8087128767318015,2.8241083770442823,0.3276870317230251,2.134805935567729,True,False,True,True,25.8621955752694,144.73460159516046
19.420939363329666,8.243836679215539,0.7730874950603912,2.7992331545390865,0.5287420556114164,0.15038165724519162,True,True,False,True,-8.147279045676118,85.19144146942965
15.814430875972183,18.00135936279928,2.470607510983237,2.6997340024980967,2.7721875661146105,1.8734754826866868,True,False,True,True,0.9993892446768198,12.695505058733952
5.829786297610132,14.265991892462706,2.793713663808212,2.6980923933967516,1.9251891089897495,1.4563403409191666,True,False,True,True,0.7231392309665583,24.063809539091014
3.2042069736212673,15.06333426439175,2.0787007833476054,0.62059788186815,2.074527887837058,1.0705073276349362,True,False,True,True,13.448714028560795,381.55514633864055
1.8902364820566775,1.7479978933723768,1.1698999287552494,2.7447351372560003,1.5557184224984162,1.4026141177182634,True,False,True,True,0.11917053425992205,0.20065383720649432
18.886907320270552,9.478843717882897,1.8324335798099671,2.4048573804973614,0.7154867874349157,2.7445773738575703,True,False,True,True,9.816185533967737,137.37006015293807
14.400216659996481,3.001784808670428,2.542761406306877,0.3096680824471928,0.15157819913276743,0.9929616062637535,True,False,True,True,-2.092699832831301,224.4847671602064
13.495733876772844,8.018965096431373,2.529921058646561,2.1861140762065996,2.5711851890729407,2.919539345448026,True,False,True,True,-0.02169551372714952,10.333388070831326
4.277391660443549,10.813932053013614,2.0524562266100186,0.8509045860146256,0.24296866418715587,0.4408389056916305,True,True,False,True,-1.8622566258976356,104.39233583628487
