r1,r2,a11,a12,a21,a22,cor_sos,nu_sign,coexist,left_PGR1_dominant,right_PGR1_dominant,curve_cross
15.0,16.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
15.0,17.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
16.0,17.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
15.0,18.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
16.0,18.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
17.0,18.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
15.0,19.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
16.0,19.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
17.0,19.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
18.0,19.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
15.0,20.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
16.0,20.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
17.0,20.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
18.0,20.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
19.0,20.0,0.1,0.1,0.1,0.1,0.0,zero,1,0,0,0
15.0,15.0,0.3,0.1,0.1,0.1,115.27985566006627,positive,1,0,0,0
16.0,15.0,0.3,0.1,0.1,0.1,108.3333085661212,positive,1,1,0,1
17.0,15.0,0.3,0.1,0.1,0.1,101.0526191688023,positive,1,1,0,1
18.0,15.0,0.3,0.1,0.1,0.1,93.49999242336568,positive,1,1,1,0
19.0,15.0,0.3,0.1,0.1,0.1,85.71427880118829,positive,1,1,1,0
20.0,15.0,0.3,0.1,0.1,0.1,77.72726792803147,positive,1,1,1,0
15.0,16.0,0.3,0.1,0.1,0.1,123.52938844666517,positive,1,0,0,0
16.0,16.0,0.3,0.1,0.1,0.1,124.98509484394928,positive,1,0,0,0
17.0,16.0,0.3,0.1,0.1,0.1,117.89471081503252,positive,1,1,0,1
18.0,16.0,0.3,0.1,0.1,0.1,110.49998756520704,positive,1,1,0,1
19.0,16.0,0.3,0.1,0.1,0.1,102.85713422409331,positive,1,1,1,0
20.0,16.0,0.3,0.1,0.1,0.1,94.9999936044901,positive,1,1,1,0
15.0,17.0,0.3,0.1,0.1,0.1,131.76469448185964,positive,1,0,0,0
16.0,17.0,0.3,0.1,0.1,0.1,133.33330855228382,positive,1,0,0,0
17.0,17.0,0.3,0.1,0.1,0.1,134.72131598381628,positive,1,0,0,0
18.0,17.0,0.3,0.1,0.1,0.1,127.4999712353017,positive,1,1,0,1
19.0,17.0,0.3,0.1,0.1,0.1,119.99998615214284,positive,1,1,0,1
20.0,17.0,0.3,0.1,0.1,0.1,112.27271750984148,positive,1,1,0,1
15.0,18.0,0.3,0.1,0.1,0.1,139.99999278142943,positive,1,0,0,0
16.0,18.0,0.3,0.1,0.1,0.1,141.66665495302826,positive,1,0,0,0
17.0,18.0,0.3,0.1,0.1,0.1,143.15786704884846,positive,1,0,0,0
18.0,18.0,0.3,0.1,0.1,0.1,144.48387514448737,positive,1,0,0,0
19.0,18.0,0.3,0.1,0.1,0.1,137.14282727731393,positive,1,1,0,1
20.0,18.0,0.3,0.1,0.1,0.1,129.54543926093845,positive,1,1,0,1
15.0,19.0,0.3,0.1,0.1,0.1,148.23528938920353,positive,1,0,0,0
16.0,19.0,0.3,0.1,0.1,0.1,149.99999262536355,positive,1,0,0,0
17.0,19.0,0.3,0.1,0.1,0.1,151.57893396190116,positive,1,0,0,0
18.0,19.0,0.3,0.1,0.1,0.1,152.99997104495418,positive,1,0,0,0
19.0,19.0,0.3,0.1,0.1,0.1,154.26900834834993,positive,1,0,0,0
20.0,19.0,0.3,0.1,0.1,0.1,146.81814933638677,positive,1,1,0,1
15.0,20.0,0.3,0.1,0.1,0.1,156.47058488856695,positive,1,0,0,0
16.0,20.0,0.3,0.1,0.1,0.1,158.3333273771478,positive,1,0,0,0
17.0,20.0,0.3,0.1,0.1,0.1,159.99999248718788,positive,1,0,0,0
18.0,20.0,0.3,0.1,0.1,0.1,161.49998638913817,positive,1,0,0,0
19.0,20.0,0.3,0.1,0.1,0.1,162.85711271852136,positive,1,0,0,0
20.0,20.0,0.3,0.1,0.1,0.1,164.07362678945518,positive,1,0,0,0
15.0,15.0,0.5,0.1,0.1,0.1,206.29774560325777,positive,1,0,0,0
16.0,15.0,0.5,0.1,0.1,0.1,202.49995811493525,positive,1,1,0,1
17.0,15.0,0.5,0.1,0.1,0.1,198.09521704646343,positive,1,1,0,1
18.0,15.0,0.5,0.1,0.1,0.1,193.18180340539053,positive,1,1,0,1
19.0,15.0,0.5,0.1,0.1,0.1,187.8260777277149,positive,1,1,0,1
20.0,15.0,0.5,0.1,0.1,0.1,182.0833241885307,positive,1,1,0,1
15.0,16.0,0.5,0.1,0.1,0.1,221.05258958587785,positive,1,0,0,0
16.0,16.0,0.5,0.1,0.1,0.1,224.98103195265315,positive,1,0,0,0
17.0,16.0,0.5,0.1,0.1,0.1,220.9523356071577,positive,1,1,0,1
18.0,16.0,0.5,0.1,0.1,0.1,216.363613270898,positive,1,1,0,1
19.0,16.0,0.5,0.1,0.1,0.1,211.30433363983752,positive,1,1,0,1
20.0,16.0,0.5,0.1,0.1,0.1,205.8333226804798,positive,1,1,0,1
15.0,17.0,0.5,0.1,0.1,0.1,235.7894546033711,positive,1,0,0,0
16.0,17.0,0.5,0.1,0.1,0.1,239.9999543331153,positive,1,0,0,0
17.0,17.0,0.5,0.1,0.1,0.1,243.78965951842287,positive,1,0,0,0
18.0,17.0,0.5,0.1,0.1,0.1,239.54540305539547,positive,1,1,0,1
19.0,17.0,0.5,0.1,0.1,0.1,234.7825835846889,positive,1,1,0,1
20.0,17.0,0.5,0.1,0.1,0.1,229.58331734484184,positive,1,1,0,1
15.0,18.0,0.5,0.1,0.1,0.1,250.52630445745908,positive,1,0,0,0
16.0,18.0,0.5,0.1,0.1,0.1,254.99997865765985,positive,1,0,0,0
17.0,18.0,0.5,0.1,0.1,0.1,259.0475698588673,positive,1,0,0,0
18.0,18.0,0.5,0.1,0.1,0.1,262.706542096263,positive,1,0,0,0
19.0,18.0,0.5,0.1,0.1,0.1,258.26081485706953,positive,1,1,0,1
20.0,18.0,0.5,0.1,0.1,0.1,253.3333062379648,positive,1,1,0,1
15.0,19.0,0.5,0.1,0.1,0.1,265.2631490280558,positive,1,0,0,0
16.0,19.0,0.5,0.1,0.1,0.1,269.99998664098723,positive,1,0,0,0
17.0,19.0,0.5,0.1,0.1,0.1,274.2856907135244,positive,1,0,0,0
18.0,19.0,0.5,0.1,0.1,0.1,278.18176562308,positive,1,0,0,0
19.0,19.0,0.5,0.1,0.1,0.1,281.71755984221704,positive,1,0,0,0
20.0,19.0,0.5,0.1,0.1,0.1,277.0832755471627,positive,1,1,0,1
15.0,20.0,0.5,0.1,0.1,0.1,279.9999925685747,positive,1,0,0,0
16.0,20.0,0.5,0.1,0.1,0.1,284.9999913986158,positive,1,0,0,0
17.0,20.0,0.5,0.1,0.1,0.1,289.5237940597662,positive,1,0,0,0
18.0,20.0,0.5,0.1,0.1,0.1,293.63633787616806,positive,1,0,0,0
19.0,20.0,0.5,0.1,0.1,0.1,297.3912485683345,positive,1,0,0,0
20.0,20.0,0.5,0.1,0.1,0.1,300.8109459827552,positive,1,0,0,0
15.0,15.0,0.7,0.1,0.1,0.1,279.9800044345136,positive,1,0,0,0
16.0,15.0,0.7,0.1,0.1,0.1,279.54539625036256,positive,1,1,0,1
17.0,15.0,0.7,0.1,0.1,0.1,278.2608402102729,positive,1,1,0,1
18.0,15.0,0.7,0.1,0.1,0.1,276.2499798033937,positive,1,1,0,1
19.0,15.0,0.7,0.1,0.1,0.1,273.5999865517396,positive,1,1,0,1
20.0,15.0,0.7,0.1,0.1,0.1,270.3846047073484,positive,1,1,0,1
15.0,16.0,0.7,0.1,0.1,0.1,299.9999444029541,positive,1,0,0,0
16.0,16.0,0.7,0.1,0.1,0.1,306.7970611115165,positive,1,0,0,0
17.0,16.0,0.7,0.1,0.1,0.1,306.0868946812648,positive,1,1,0,1
18.0,16.0,0.7,0.1,0.1,0.1,304.5833016779472,positive,1,1,0,1
19.0,16.0,0.7,0.1,0.1,0.1,302.3999808834826,positive,1,1,0,1
20.0,16.0,0.7,0.1,0.1,0.1,299.61536920813097,positive,1,1,0,1
15.0,17.0,0.7,0.1,0.1,0.1,319.9999749914392,positive,1,0,0,0
