r1,r2,a11,a12,a21,a22,N1_eq,N2_eq,left_PGR1,left_PGR2,left_flag,nu,nu_sign,coexist,S1,S2,F1_star,CE1,CE2,CE_case,Rank
18.0,17.0,0.3,0.1,0.1,0.1,5.000000001596375,154.99999999830348,0.057158413857659074,0.0,1,127.49999999720102,1,1,1.0,2.6999999999999997,0.031250000009996906,10.0,103.33333333333333,-1,2
19.0,17.0,0.3,0.1,0.1,0.1,10.000000000735845,149.99999999917154,0.11122563511797967,0.0,1,119.99999999865913,1,1,1.0,2.714285714285714,0.06250000000463521,20.0,100.0,-1,2
20.0,17.0,0.3,0.1,0.1,0.1,15.000000000524437,144.99999999937626,0.16251892950306246,0.0,1,112.27272727173565,1,1,1.0,2.727272727272727,0.09375000000333591,30.0,96.66666666666666,-1,2
15.0,18.0,0.3,0.1,0.1,0.1,3.6248894694681156e-10,169.99999999955983,3.979927498676261e-12,0.0,1,139.99999999933897,1,0,1.0,2.6470588235294117,2.132287923217513e-12,-30.0,123.33333333333333,-1,2
16.0,18.0,0.3,0.1,0.1,0.1,6.743995949417355e-10,169.9999999992357,7.438050175778699e-12,0.0,1,141.66666666546772,1,0,1.0,2.666666666666666,3.967056440835836e-12,-20.0,120.0,-1,2
17.0,18.0,0.3,0.1,0.1,0.1,1.5174318587824768e-09,169.99999999838775,1.680211525467712e-11,0.0,1,143.15789473420656,1,0,1.0,2.6842105263157894,8.92606975754896e-12,-10.0,116.66666666666666,-1,2
18.0,18.0,0.3,0.1,0.1,0.1,0.009004539143129467,169.99099450684753,0.00010004484200765162,0.0,1,144.48469147254872,1,0,1.0,2.6999999999999997,5.2967877609772454e-05,0.0,113.33333333333333,-1,2
19.0,18.0,0.3,0.1,0.1,0.1,5.000000001752843,164.9999999981437,0.05406722128870145,0.0,1,137.14285713976358,1,1,1.0,2.714285714285714,0.029411764716211094,10.0,110.0,-1,2
20.0,18.0,0.3,0.1,0.1,0.1,10.00000000085351,159.99999999904543,0.10536051566637061,0.0,1,129.54545454389302,1,1,1.0,2.727272727272727,0.05882352941682032,20.0,106.66666666666666,-1,2
15.0,19.0,0.3,0.1,0.1,0.1,2.4899220691622824e-10,179.99999999967986,2.581934666068264e-12,0.0,1,148.23529411717837,1,0,1.0,2.6470588235294117,1.383290038424037e-12,-40.0,133.33333333333331,-1,2
16.0,19.0,0.3,0.1,0.1,0.1,3.7521800519291054e-10,179.99999999954971,3.908429135890401e-12,0.0,1,149.99999999931202,1,0,1.0,2.666666666666666,2.084544473294817e-12,-30.0,130.0,-1,2
17.0,19.0,0.3,0.1,0.1,0.1,7.333343173007456e-10,179.999999999175,7.668976564900731e-12,0.0,1,151.57894736710875,1,0,1.0,2.6842105263157894,4.074079540561772e-12,-20.0,126.66666666666666,-1,2
18.0,19.0,0.3,0.1,0.1,0.1,1.6861588046400017e-09,179.99999999821466,1.7694290477265895e-11,0.0,1,152.9999999970492,1,0,1.0,2.6999999999999997,9.36754891467184e-12,-10.0,123.33333333333333,-1,2
19.0,19.0,0.3,0.1,0.1,0.1,0.009504777576960137,179.9904942185248,0.00010004473008917714,0.0,1,154.2694195208124,1,0,1.0,2.714285714285714,5.280432016650168e-05,0.0,120.0,-1,2
20.0,19.0,0.3,0.1,0.1,0.1,5.000000001815192,174.99999999808367,0.05129329440568009,0.0,1,146.8181818149591,1,1,1.0,2.727272727272727,0.02777777778787779,10.0,116.66666666666666,-1,2
15.0,20.0,0.3,0.1,0.1,0.1,1.7318716024311866e-10,189.99999999976492,1.7013057629355899e-12,0.0,1,156.4705882349579,1,0,1.0,2.6470588235294117,9.115113697009215e-13,-50.0,143.33333333333331,-1,2
16.0,20.0,0.3,0.1,0.1,0.1,2.6825089917089765e-10,189.99999999966025,2.6472157799162233e-12,0.0,1,158.3333333328266,1,0,1.0,2.666666666666666,1.4118468377420978e-12,-40.0,140.0,-1,2
17.0,20.0,0.3,0.1,0.1,0.1,4.549333807693461e-10,189.99999999945976,4.5070613907682855e-12,0.0,1,159.99999999916196,1,0,1.0,2.6842105263157894,2.394386214576581e-12,-30.0,136.66666666666666,-1,2
18.0,20.0,0.3,0.1,0.1,0.1,7.901528518165346e-10,189.9999999991169,7.855049943827908e-12,0.0,1,161.49999999857772,1,0,1.0,2.6999999999999997,4.158699220089058e-12,-20.0,133.33333333333331,-1,2
19.0,20.0,0.3,0.1,0.1,0.1,1.7606166898751425e-09,189.99999999814156,1.7557066911422226e-11,0.0,1,162.85714285404077,1,0,1.0,2.714285714285714,9.266403630926573e-12,-10.0,130.0,-1,2
20.0,20.0,0.3,0.1,0.1,0.1,0.010005016044799944,189.9899939301508,0.00010004462953094873,0.0,1,164.07362678945518,1,0,1.0,2.727272727272727,5.26579794752166e-05,0.0,126.66666666666666,-1,2
15.0,15.0,0.5,0.1,0.1,0.1,0.003751190524783416,139.99624840738835,0.00010002603011027844,0.0,1,206.30473274064104,1,0,1.0,3.9473684210526314,2.6794218111121566e-05,0.0,112.0,-1,2
16.0,15.0,0.5,0.1,0.1,0.1,2.5000000013827193,137.49999999851806,0.06453852117202974,0.0,1,202.49999999570304,1,1,1.0,4.0,0.017857142867032078,10.0,110.0,-1,2
17.0,15.0,0.5,0.1,0.1,0.1,5.000000000607882,134.99999999930446,0.1251631429682627,0.0,1,198.0952380932519,1,1,1.0,4.0476190476190474,0.03571428571865009,20.0,108.0,-1,2
18.0,15.0,0.5,0.1,0.1,0.1,7.500000000409474,132.49999999950157,0.18232155680305162,0.0,1,193.18181818041506,1,1,1.0,4.090909090909091,0.05357142857438743,30.0,106.0,-1,2
19.0,15.0,0.5,0.1,0.1,0.1,10.00000000028116,129.9999999996371,0.23638877807018277,0.0,1,187.8260869555137,1,1,1.0,4.130434782608696,0.07142857143062142,40.0,104.0,-1,2
20.0,15.0,0.5,0.1,0.1,0.1,12.500000000228152,127.49999999968861,0.28768207245640953,0.0,1,182.08333333247901,1,1,1.0,4.166666666666666,0.08928571428739704,50.0,102.0,-1,2
15.0,16.0,0.5,0.1,0.1,0.1,1.3501851221552812e-09,149.9999999985534,3.360467459856409e-11,0.0,1,221.05263157482577,1,0,1.0,3.9473684210526314,9.00123414770766e-12,-10.0,122.0,-1,2
16.0,16.0,0.5,0.1,0.1,0.1,0.004001264353664478,149.9959983086615,0.00010002593928160053,0.0,1,224.9879955664618,1,0,1.0,4.0,2.6675095767028928e-05,0.0,120.0,-1,2
17.0,16.0,0.5,0.1,0.1,0.1,2.5000000014911805,147.499999998409,0.06062462185142348,0.0,1,220.9523809476843,1,1,1.0,4.0476190476190474,0.016666666676618962,10.0,118.0,-1,2
18.0,16.0,0.5,0.1,0.1,0.1,5.0000000007067,144.99999999919834,0.11778303567204196,0.0,1,216.36363636130525,1,1,1.0,4.090909090909091,0.03333333333806576,20.0,116.0,-1,2
19.0,16.0,0.5,0.1,0.1,0.1,7.500000000461899,142.49999999944464,0.17185025693637934,0.0,1,211.30434782449476,1,1,1.0,4.130434782608696,0.05000000000311048,30.0,114.0,-1,2
20.0,16.0,0.5,0.1,0.1,0.1,10.000000000337588,139.99999999957097,0.22314355132099317,0.0,1,205.83333333211948,1,1,1.0,4.166666666666666,0.06666666666895789,40.0,112.0,-1,2
15.0,17.0,0.5,0.1,0.1,0.1,6.502643299160278e-10,159.99999999925683,1.517275194373724e-11,0.0,1,235.78947368215705,1,0,1.0,3.9473684210526314,4.0641520619775334e-12,-20.0,132.0,-1,2
16.0,17.0,0.5,0.1,0.1,0.1,1.4663525600913326e-09,159.9999999984359,3.4367619861086496e-11,0.0,1,239.99999999545432,1,0,1.0,4.0,9.164703500576427e-12,-10.0,130.0,-1,2
17.0,17.0,0.5,0.1,0.1,0.1,0.0042513381896176206,159.9957482099126,0.00010002585895430016,0.0,1,243.7965666616731,1,0,1.0,4.0476190476190474,2.6570863760155846e-05,0.0,128.0,-1,2
18.0,17.0,0.5,0.1,0.1,0.1,2.5000000015952377,157.4999999983047,0.057158413875309844,0.0,1,239.54545454036918,1,1,1.0,4.090909090909091,0.01562500000998001,10.0,126.0,-1,2
19.0,17.0,0.5,0.1,0.1,0.1,5.0000000007270815,154.99999999918137,0.111225635125491,0.0,1,234.78260869323285,1,1,1.0,4.130434782608696,0.03125000000456214,20.0,124.0,-1,2
20.0,17.0,0.5,0.1,0.1,0.1,7.500000000442533,152.4999999994736,0.1625189295066214,0.0,1,229.58333333179914,1,1,1.0,4.166666666666666,0.04687500000279041,30.0,122.0,-1,2
15.0,18.0,0.5,0.1,0.1,0.1,3.8159837655271893e-10,169.99999999953664,8.380407479080532e-12,0.0,1,250.52631578822846,1,0,1.0,3.9473684210526314,2.2446963326641323e-12,-30.0,142.0,-1,2
16.0,18.0,0.5,0.1,0.1,0.1,6.826446737862457e-10,169.9999999992263,1.5058621016805773e-11,0.0,1,254.99999999781548,1,0,1.0,4.0,4.015556904627126e-12,-20.0,140.0,-1,2
17.0,18.0,0.5,0.1,0.1,0.1,1.5773984765625887e-09,169.999999998324,3.4932057246805925e-11,0.0,1,259.04761904266144,1,0,1.0,4.0476190476190474,9.27881456802061e-12,-10.0,138.0,-1,2
18.0,18.0,0.5,0.1,0.1,0.1,0.004501412030861194,169.99549811114616,0.00010002578739687351,0.0,1,262.71335853499636,1,0,1.0,4.090909090909091,2.647889437345258e-05,0.0,136.0,-1,2
19.0,18.0,0.5,0.1,0.1,0.1,2.5000000016948905,167.49999999820506,0.05406722130587838,0.0,1,258.2608695597551,1,1,1.0,4.130434782608696,0.014705882362919774,10.0,134.0,-1,2
20.0,18.0,0.5,0.1,0.1,0.1,5.000000000826945,164.99999999907513,0.10536051567432558,0.0,1,253.33333333055958,1,1,1.0,4.166666666666666,0.029411764710763674,20.0,132.0,-1,2
15.0,19.0,0.5,0.1,0.1,0.1,2.60917525653399e-10,179.9999999996645,5.411671111232863e-12,0.0,1,265.2631578938579,1,0,1.0,3.9473684210526314,1.4495418091861506e-12,-40.0,152.0,-1,2
16.0,19.0,0.5,0.1,0.1,0.1,3.7761113144647256e-10,179.99999999954684,7.86704035249386e-12,0.0,1,269.9999999987539,1,0,1.0,4.0,2.09783961914795e-12,-30.0,150.0,-1,2
17.0,19.0,0.5,0.1,0.1,0.1,7.12559695448154e-10,179.99999999919837,1.49036338825681e-11,0.0,1,274.28571428340695,1,0,1.0,4.0476190476190474,3.958664974713926e-12,-20.0,148.0,-1,2
18.0,19.0,0.5,0.1,0.1,0.1,1.683373018519704e-09,179.9999999982176,3.532996117883158e-11,0.0,1,278.18181817646195,1,0,1.0,4.090909090909091,9.352072325114613e-12,-10.0,146.0,-1,2
19.0,19.0,0.5,0.1,0.1,0.1,0.0047514858760965804,179.9952480123655,0.00010002572324108172,0.0,1,281.72425543276603,1,0,1.0,4.130434782608696,2.6397143829675388e-05,0.0,144.0,-1,2
20.0,19.0,0.5,0.1,0.1,0.1,2.5000000017902195,177.49999999811007,0.05129329442328334,0.0,1,277.08333332750635,1,1,1.0,4.166666666666666,0.013888888898842246,10.0,142.0,-1,2
15.0,20.0,0.5,0.1,0.1,0.1,2.149028254720753e-10,189.99999999970834,4.2228442964642454e-12,0.0,1,279.9999999992535,1,0,1.0,3.9473684210526314,1.131067502485064e-12,-50.0,162.0,-1,2
16.0,20.0,0.5,0.1,0.1,0.1,2.69016411567233e-10,189.99999999965925,5.309530592967349e-12,0.0,1,284.9999999990854,1,0,1.0,4.0,1.4158758503543924e-12,-40.0,160.0,-1,2
17.0,20.0,0.5,0.1,0.1,0.1,4.3986843049946343e-10,189.99999999947764,8.716138921727179e-12,0.0,1,289.52380952234324,1,0,1.0,4.0476190476190474,2.3150970026297602e-12,-30.0,158.0,-1,2
18.0,20.0,0.5,0.1,0.1,0.1,7.402517866924981e-10,189.99999999917264,1.4718448682060625e-11,0.0,1,293.63636363394096,1,0,1.0,4.090909090909091,3.89606203522546e-12,-20.0,156.0,-1,2
19.0,20.0,0.5,0.1,0.1,0.1,1.784403059019627e-09,189.99999999811646,3.558886518817417e-11,0.0,1,297.39130434208505,1,0,1.0,4.130434782608696,9.39159504747662e-12,-10.0,154.0,-1,2
20.0,20.0,0.5,0.1,0.1,0.1,0.0050015597243639265,189.99499791357317,0.00010002566538913626,0.0,1,300.81749422692724,1,0,1.0,4.166666666666666,2.632399862225706e-05,0.0,152.0,-1,2
15.0,15.0,0.7,0.1,0.1,0.1,0.002500619916718924,139.99749911206266,0.00010001908015011551,0.0,1,279.9899969842918,1,0,1.0,4.999999999999999,1.786157086790138e-05,0.0,120.0,-1,2
16.0,15.0,0.7,0.1,0.1,0.1,1.6666666679987368,138.33333333190566,0.06453852118734416,0.0,1,279.54545453980955,1,1,1.0,5.09090909090909,0.011904761914284821,10.0,118.57142857142857,-1,2
17.0,15.0,0.7,0.1,0.1,0.1,3.3333333339517974,136.66666666595904,0.1251631429757265,0.0,1,278.2608695624499,1,1,1.0,5.173913043478261,0.023809523813956575,20.0,117.14285714285714,-1,2
18.0,15.0,0.7,0.1,0.1,0.1,5.000000000399564,134.99999999951362,0.18232155680721895,0.0,1,276.24999999811735,1,1,1.0,5.25,0.03571428571716189,30.0,115.71428571428571,-1,2
19.0,15.0,0.7,0.1,0.1,0.1,6.666666666950982,133.3333333329663,0.23638877807319814,0.0,1,273.5999999985931,1,1,1.0,5.319999999999999,0.047619047621106574,40.0,114.28571428571428,-1,2
20.0,15.0,0.7,0.1,0.1,0.1,8.333333333563653,131.66666666635226,0.2876820724587166,0.0,1,270.38461538342113,1,1,1.0,5.384615384615384,0.05952380952549042,50.0,112.85714285714286,-1,2
15.0,16.0,0.7,0.1,0.1,0.1,1.3171665657149963e-09,149.99999999858878,4.9174442295907284e-11,0.0,1,299.99999999454315,1,0,1.0,4.999999999999999,8.781110438105481e-12,-10.0,130.0,-1,2
16.0,16.0,0.7,0.1,0.1,0.1,0.0026673248528106797,149.99733239053006,0.0001000190131104084,0.0,1,306.8072694525216,1,0,1.0,5.09090909090909,1.7782165719145258e-05,0.0,128.57142857142856,-1,2
17.0,16.0,0.7,0.1,0.1,0.1,1.6666666681608968,148.33333333173908,0.06062462186900541,0.0,1,306.0869565152936,1,1,1.0,5.173913043478261,0.011111111121080054,10.0,127.14285714285714,-1,2
18.0,16.0,0.7,0.1,0.1,0.1,3.3333333340392746,146.66666666586585,0.1177830356798113,0.0,1,304.58333333013144,1,1,1.0,5.25,0.02222222222694255,20.0,125.71428571428571,-1,2
19.0,16.0,0.7,0.1,0.1,0.1,5.000000000446508,144.9999999994631,0.17185025694070655,0.0,1,302.39999999787585,1,1,1.0,5.319999999999999,0.03333333333633014,30.0,124.28571428571428,-1,2
20.0,16.0,0.7,0.1,0.1,0.1,6.6666666669427785,143.33333333298242,0.22314355132248265,0.0,1,299.61538461400994,1,1,1.0,5.384615384615384,0.04444444444630735,40.0,122.85714285714286,-1,2
15.0,17.0,0.7,0.1,0.1,0.1,6.279937660905525e-10,159.9999999992823,2.1979751352319e-11,0.0,1,319.9999999973085,1,0,1.0,4.999999999999999,3.9249610380681536e-12,-20.0,140.0,-1,2
16.0,17.0,0.7,0.1,0.1,0.1,1.4846468086787764e-09,159.99999999841634,5.219469301209756e-11,0.0,1,327.2727272664511,1,0,1.0,5.09090909090909,9.279042554248095e-12,-10.0,138.57142857142856,-1,2
17.0,17.0,0.7,0.1,0.1,0.1,0.0028340297866435013,159.99716566898977,0.00010001895352784729,0.0,1,333.90121385572826,1,0,1.0,5.173913043478261,1.7712686199868627e-05,0.0,137.14285714285714,-1,2
18.0,17.0,0.7,0.1,0.1,0.1,1.666666668230647,158.33333333167124,0.05715841389193477,0.0,1,332.91666665981126,1,1,1.0,5.25,0.010416666676447932,10.0,135.71428571428572,-1,2
19.0,17.0,0.7,0.1,0.1,0.1,3.3333333340464226,156.66666666586377,0.11122563513265415,0.0,1,331.1999999967254,1,1,1.0,5.319999999999999,0.020833333337801834,20.0,134.28571428571428,-1,2
20.0,17.0,0.7,0.1,0.1,0.1,5.000000000494165,154.99999999941218,0.16251892951254865,0.0,1,328.8461538437818,1,1,1.0,5.384615384615384,0.03125000000310682,30.0,132.85714285714286,-1,2
15.0,18.0,0.7,0.1,0.1,0.1,3.659331548085291e-10,169.99999999955568,1.20543575121701e-11,0.0,1,339.99999999837945,1,0,1.0,4.999999999999999,2.1525479694629283e-12,-30.0,150.0,-1,2
16.0,18.0,0.7,0.1,0.1,0.1,6.44557025411478e-10,169.9999999992695,2.1327384303049257e-11,0.0,1,347.72727272446,1,0,1.0,5.09090909090909,3.7915119141870815e-12,-20.0,148.57142857142856,-1,2
17.0,18.0,0.7,0.1,0.1,0.1,1.5588534258817027e-09,169.9999999983437,5.178213413614685e-11,0.0,1,354.7826086889423,1,0,1.0,5.173913043478261,9.169726034603507e-12,-10.0,147.14285714285714,-1,2
18.0,18.0,0.7,0.1,0.1,0.1,0.0030007347181592553,169.99699894744364,0.00010001890021538173,0.0,1,361.23724620204166,1,0,1.0,5.25,1.7651380728056108e-05,0.0,145.71428571428572,-1,2
19.0,18.0,0.7,0.1,0.1,0.1,1.666666668296009,168.33333333160783,0.054067221321599135,0.0,1,359.9999999927535,1,1,1.0,5.319999999999999,0.009803921578217363,10.0,144.28571428571428,-1,2
20.0,18.0,0.7,0.1,0.1,0.1,3.3333333341316167,166.66666666577385,0.10536051568168991,0.0,1,358.0769230732156,1,1,1.0,5.384615384615384,0.019607843141961588,20.0,142.85714285714286,-1,2
15.0,19.0,0.7,0.1,0.1,0.1,2.800640005339019e-10,179.99999999963993,8.713474386468079e-12,0.0,1,359.99999999871966,1,0,1.0,4.999999999999999,1.5559111140779244e-12,-40.0,160.0,-1,2
16.0,19.0,0.7,0.1,0.1,0.1,4.2071792320825104e-10,179.99999999949512,1.3147261057611104e-11,0.0,1,368.18181817992485,1,0,1.0,5.09090909090909,2.3373217956024875e-12,-30.0,158.57142857142856,-1,2
17.0,19.0,0.7,0.1,0.1,0.1,7.370610196172147e-10,179.99999999917077,2.312372515689276e-11,0.0,1,375.65217390977466,1,0,1.0,5.173913043478261,4.094783442319956e-12,-20.0,157.14285714285714,-1,2
18.0,19.0,0.7,0.1,0.1,0.1,1.6280590974328873e-09,179.99999999827617,5.1253667976425277e-11,0.0,1,382.49999999287724,1,0,1.0,5.25,9.044772763520854e-12,-10.0,155.71428571428572,-1,2
19.0,19.0,0.7,0.1,0.1,0.1,0.003167439647387226,179.996832225893,0.00010001885222710172,0.0,1,388.7863159382905,1,0,1.0,5.319999999999999,1.7596886962625964e-05,0.0,154.28571428571428,-1,2
20.0,19.0,0.7,0.1,0.1,0.1,1.6666666684454388,178.33333333145544,0.051293294440793336,0.0,1,387.3076922996757,1,1,1.0,5.384615384615384,0.009259259269146426,10.0,152.85714285714286,-1,2
15.0,20.0,0.7,0.1,0.1,0.1,1.9263232666060324e-10,189.9999999997386,5.6776805479330505e-12,0.0,1,379.99999999909187,1,0,1.0,4.999999999999999,1.013854350845647e-12,-50.0,170.0,-1,2
16.0,20.0,0.7,0.1,0.1,0.1,2.8083662539437557e-10,189.99999999964427,8.314238186812872e-12,0.0,1,388.6363636350615,1,0,1.0,5.09090909090909,1.4780875020762435e-12,-40.0,168.57142857142856,-1,2
17.0,20.0,0.7,0.1,0.1,0.1,4.761967734349117e-10,189.99999999943452,1.4153123117921496e-11,0.0,1,396.52173912826083,1,0,1.0,5.173913043478261,2.5062988075533445e-12,-30.0,167.14285714285714,-1,2
18.0,20.0,0.7,0.1,0.1,0.1,7.477515473146756e-10,189.9999999991643,2.2301271940250444e-11,0.0,1,403.74999999663515,1,0,1.0,5.25,3.935534459552747e-12,-20.0,165.71428571428572,-1,2
19.0,20.0,0.7,0.1,0.1,0.1,1.78178126033911e-09,189.9999999981192,5.3304916036722716e-11,0.0,1,410.39999999208874,1,0,1.0,5.319999999999999,9.377796107052834e-12,-10.0,164.28571428571428,-1,2
20.0,20.0,0.7,0.1,0.1,0.1,0.003334144574405521,189.99666550433878,0.00010001880880006198,0.0,1,416.52384182717566,1,0,1.0,5.384615384615384,1.7548129371402302e-05,0.0,162.85714285714286,-1,2
15.0,15.0,0.9,0.1,0.1,0.1,0.0018753966928695966,139.99812440230627,0.00010001544080306957,0.0,1,340.8604323614935,1,0,1.0,5.869565217391305,1.3395690682586729e-05,0.0,124.44444444444444,-1,2
16.0,15.0,0.9,0.1,0.1,0.1,1.2500000013663544,138.7499999985356,0.06453852120562864,0.0,1,343.74999999292305,1,1,1.0,5.999999999999999,0.008928571438337356,10.0,123.33333333333333,-1,2
17.0,15.0,0.9,0.1,0.1,0.1,2.5000000006506204,137.49999999925555,0.12516314298444664,0.0,1,345.5999999964286,1,1,1.0,6.12,0.017857142861802112,20.0,122.22222222222223,-1,2
18.0,15.0,0.9,0.1,0.1,0.1,3.7500000003993437,136.24999999951385,0.18232155681159634,0.0,1,346.5384615361456,1,1,1.0,6.23076923076923,0.026785714288583347,30.0,121.11111111111111,-1,2
19.0,15.0,0.9,0.1,0.1,0.1,5.000000000298698,134.99999999961437,0.23638877807674952,0.0,1,346.6666666648418,1,1,1.0,6.333333333333333,0.035714285716441446,40.0,120.0,-1,2
20.0,15.0,0.9,0.1,0.1,0.1,6.250000000190019,133.74999999974057,0.28768207245936983,0.0,1,346.07142857020864,1,1,1.0,6.428571428571429,0.044642857144236554,50.0,118.88888888888889,-1,2
