r1,r2,a11,a12,a21,a22,N1,N2,E1,S1,E2,S2,Rank,CoexistRank,Asy,cor,Rare
16.0,15.0,0.1,0.1,0.1,0.1,0.0,140.0,1.06,1.0,0.93,1.0,2.0,0.0,0.0,0.0,0.0
17.0,15.0,0.1,0.1,0.1,0.1,0.0,140.0,1.13,1.0,0.88,1.0,2.0,0.0,0.0,0.0,0.0
18.0,15.0,0.1,0.1,0.1,0.1,0.0,140.0,1.2,1.0,0.83,1.0,2.0,0.0,0.0,0.0,0.0
19.0,15.0,0.1,0.1,0.1,0.1,0.0,140.0,1.26,1.0,0.78,1.0,2.0,0.0,0.0,0.0,0.0
20.0,15.0,0.1,0.1,0.1,0.1,0.0,140.0,1.33,1.0,0.75,1.0,2.0,0.0,0.0,0.0,0.0
17.0,16.0,0.1,0.1,0.1,0.1,0.0,150.0,1.06,1.0,0.94,1.0,2.0,0.0,0.0,0.0,0.0
18.0,16.0,0.1,0.1,0.1,0.1,0.0,150.0,1.12,1.0,0.88,1.0,2.0,0.0,0.0,0.0,0.0
19.0,16.0,0.1,0.1,0.1,0.1,0.0,150.0,1.18,1.0,0.84,1.0,2.0,0.0,0.0,0.0,0.0
20.0,16.0,0.1,0.1,0.1,0.1,0.0,150.0,1.25,1.0,0.8,1.0,2.0,0.0,0.0,0.0,0.0
18.0,17.0,0.1,0.1,0.1,0.1,0.0,160.0,1.05,1.0,0.94,1.0,2.0,0.0,0.0,0.0,0.0
19.0,17.0,0.1,0.1,0.1,0.1,0.0,160.0,1.11,1.0,0.89,1.0,2.0,0.0,0.0,0.0,0.0
20.0,17.0,0.1,0.1,0.1,0.1,0.0,160.0,1.17,1.0,0.85,1.0,2.0,0.0,0.0,0.0,0.0
19.0,18.0,0.1,0.1,0.1,0.1,0.0,170.0,1.05,1.0,0.94,1.0,2.0,0.0,0.0,0.0,0.0
20.0,18.0,0.1,0.1,0.1,0.1,0.0,170.0,1.11,1.0,0.9,1.0,2.0,0.0,0.0,0.0,0.0
20.0,19.0,0.1,0.1,0.1,0.1,0.0,180.0,1.05,1.0,0.95,1.0,2.0,0.0,0.0,0.0,0.0
15.0,15.0,0.3,0.1,0.1,0.1,0.0,139.99,1.0,1.0,1.0,2.64,2.0,0.0,-1.64,115.29,0.0
16.0,15.0,0.3,0.1,0.1,0.1,5.0,135.0,1.06,1.0,0.93,2.66,2.0,1.0,-1.66,108.33,0.03
17.0,15.0,0.3,0.1,0.1,0.1,10.0,130.0,1.13,1.0,0.88,2.68,2.0,1.0,-1.68,101.05,0.07
18.0,15.0,0.3,0.1,0.1,0.1,15.0,125.0,1.2,1.0,0.83,2.7,2.0,1.0,-1.69,93.49,0.1
19.0,15.0,0.3,0.1,0.1,0.1,20.0,120.0,1.26,1.0,0.78,2.71,2.0,1.0,-1.71,85.71,0.14
20.0,15.0,0.3,0.1,0.1,0.1,25.0,115.0,1.33,1.0,0.75,2.72,2.0,1.0,-1.72,77.72,0.17
15.0,16.0,0.3,0.1,0.1,0.1,0.0,150.0,0.93,1.0,1.06,2.64,2.0,0.0,-1.64,123.52,0.0
16.0,16.0,0.3,0.1,0.1,0.1,0.0,150.0,1.0,1.0,1.0,2.66,2.0,0.0,-1.66,124.99,0.0
17.0,16.0,0.3,0.1,0.1,0.1,5.0,145.0,1.06,1.0,0.94,2.68,2.0,1.0,-1.68,117.89,0.03
18.0,16.0,0.3,0.1,0.1,0.1,10.0,139.99,1.12,1.0,0.88,2.7,2.0,1.0,-1.69,110.49,0.06
19.0,16.0,0.3,0.1,0.1,0.1,15.0,135.0,1.18,1.0,0.84,2.71,2.0,1.0,-1.71,102.85,0.1
20.0,16.0,0.3,0.1,0.1,0.1,20.0,130.0,1.25,1.0,0.8,2.72,2.0,1.0,-1.72,95.0,0.13
15.0,17.0,0.3,0.1,0.1,0.1,0.0,160.0,0.88,1.0,1.13,2.64,2.0,0.0,-1.64,131.76,0.0
16.0,17.0,0.3,0.1,0.1,0.1,0.0,160.0,0.94,1.0,1.06,2.66,2.0,0.0,-1.66,133.33,0.0
17.0,17.0,0.3,0.1,0.1,0.1,0.0,160.0,1.0,1.0,1.0,2.68,2.0,0.0,-1.68,134.73,0.0
18.0,17.0,0.3,0.1,0.1,0.1,5.0,154.99,1.05,1.0,0.94,2.7,2.0,1.0,-1.69,127.49,0.03
19.0,17.0,0.3,0.1,0.1,0.1,10.0,150.0,1.11,1.0,0.89,2.71,2.0,1.0,-1.71,119.99,0.06
20.0,17.0,0.3,0.1,0.1,0.1,15.0,145.0,1.17,1.0,0.85,2.72,2.0,1.0,-1.72,112.27,0.09
15.0,18.0,0.3,0.1,0.1,0.1,0.0,170.0,0.83,1.0,1.2,2.64,2.0,0.0,-1.64,140.0,0.0
16.0,18.0,0.3,0.1,0.1,0.1,0.0,170.0,0.88,1.0,1.12,2.66,2.0,0.0,-1.66,141.66,0.0
17.0,18.0,0.3,0.1,0.1,0.1,0.0,170.0,0.94,1.0,1.05,2.68,2.0,0.0,-1.68,143.15,0.0
18.0,18.0,0.3,0.1,0.1,0.1,0.0,169.99,1.0,1.0,1.0,2.7,2.0,0.0,-1.69,144.49,0.0
19.0,18.0,0.3,0.1,0.1,0.1,5.0,165.0,1.05,1.0,0.94,2.71,2.0,1.0,-1.71,137.14,0.02
20.0,18.0,0.3,0.1,0.1,0.1,10.0,160.0,1.11,1.0,0.9,2.72,2.0,1.0,-1.72,129.54,0.05
15.0,19.0,0.3,0.1,0.1,0.1,0.0,180.0,0.78,1.0,1.26,2.64,2.0,0.0,-1.64,148.23,0.0
16.0,19.0,0.3,0.1,0.1,0.1,0.0,180.0,0.84,1.0,1.18,2.66,2.0,0.0,-1.66,149.99,0.0
17.0,19.0,0.3,0.1,0.1,0.1,0.0,180.0,0.89,1.0,1.11,2.68,2.0,0.0,-1.68,151.57,0.0
18.0,19.0,0.3,0.1,0.1,0.1,0.0,180.0,0.94,1.0,1.05,2.7,2.0,0.0,-1.69,152.99,0.0
19.0,19.0,0.3,0.1,0.1,0.1,0.0,180.0,1.0,1.0,1.0,2.71,2.0,0.0,-1.71,154.28,0.0
20.0,19.0,0.3,0.1,0.1,0.1,5.0,175.0,1.05,1.0,0.95,2.72,2.0,1.0,-1.72,146.81,0.02
15.0,20.0,0.3,0.1,0.1,0.1,0.0,190.0,0.75,1.0,1.33,2.64,2.0,0.0,-1.64,156.47,0.0
16.0,20.0,0.3,0.1,0.1,0.1,0.0,190.0,0.8,1.0,1.25,2.66,2.0,0.0,-1.66,158.33,0.0
17.0,20.0,0.3,0.1,0.1,0.1,0.0,190.0,0.85,1.0,1.17,2.68,2.0,0.0,-1.68,160.0,0.0
18.0,20.0,0.3,0.1,0.1,0.1,0.0,190.0,0.9,1.0,1.11,2.7,2.0,0.0,-1.69,161.49,0.0
19.0,20.0,0.3,0.1,0.1,0.1,0.0,190.0,0.95,1.0,1.05,2.71,2.0,0.0,-1.71,162.85,0.0
20.0,20.0,0.3,0.1,0.1,0.1,0.0,190.0,1.0,1.0,1.0,2.72,2.0,0.0,-1.72,164.09,0.0
15.0,15.0,0.5,0.1,0.1,0.1,0.0,140.0,1.0,1.0,1.0,3.94,2.0,0.0,-2.94,206.31,0.0
16.0,15.0,0.5,0.1,0.1,0.1,2.5,137.5,1.06,1.0,0.93,4.0,2.0,1.0,-3.0,202.5,0.01
17.0,15.0,0.5,0.1,0.1,0.1,5.0,135.0,1.13,1.0,0.88,4.04,2.0,1.0,-3.04,198.09,0.03
18.0,15.0,0.5,0.1,0.1,0.1,7.5,132.5,1.2,1.0,0.83,4.09,2.0,1.0,-3.09,193.18,0.05
19.0,15.0,0.5,0.1,0.1,0.1,10.0,130.0,1.26,1.0,0.78,4.13,2.0,1.0,-3.13,187.82,0.07
20.0,15.0,0.5,0.1,0.1,0.1,12.5,127.5,1.33,1.0,0.75,4.16,2.0,1.0,-3.16,182.08,0.08
15.0,16.0,0.5,0.1,0.1,0.1,0.0,150.0,0.93,1.0,1.06,3.94,2.0,0.0,-2.94,221.05,0.0
16.0,16.0,0.5,0.1,0.1,0.1,0.0,150.0,1.0,1.0,1.0,4.0,2.0,0.0,-3.0,225.0,0.0
17.0,16.0,0.5,0.1,0.1,0.1,2.5,147.5,1.06,1.0,0.94,4.04,2.0,1.0,-3.04,220.95,0.01
18.0,16.0,0.5,0.1,0.1,0.1,5.0,145.0,1.12,1.0,0.88,4.09,2.0,1.0,-3.09,216.36,0.03
19.0,16.0,0.5,0.1,0.1,0.1,7.5,142.5,1.18,1.0,0.84,4.13,2.0,1.0,-3.13,211.3,0.05
20.0,16.0,0.5,0.1,0.1,0.1,10.0,140.0,1.25,1.0,0.8,4.16,2.0,1.0,-3.16,205.83,0.06
15.0,17.0,0.5,0.1,0.1,0.1,0.0,160.0,0.88,1.0,1.13,3.94,2.0,0.0,-2.94,235.78,0.0
16.0,17.0,0.5,0.1,0.1,0.1,0.0,160.0,0.94,1.0,1.06,4.0,2.0,0.0,-3.0,240.0,0.0
17.0,17.0,0.5,0.1,0.1,0.1,0.0,160.0,1.0,1.0,1.0,4.04,2.0,0.0,-3.04,243.8,0.0
18.0,17.0,0.5,0.1,0.1,0.1,2.5,157.5,1.05,1.0,0.94,4.09,2.0,1.0,-3.09,239.54,0.01
19.0,17.0,0.5,0.1,0.1,0.1,5.0,155.0,1.11,1.0,0.89,4.13,2.0,1.0,-3.13,234.78,0.03
20.0,17.0,0.5,0.1,0.1,0.1,7.5,152.5,1.17,1.0,0.85,4.16,2.0,1.0,-3.16,229.58,0.04
15.0,18.0,0.5,0.1,0.1,0.1,0.0,170.0,0.83,1.0,1.2,3.94,2.0,0.0,-2.94,250.52,0.0
16.0,18.0,0.5,0.1,0.1,0.1,0.0,170.0,0.88,1.0,1.12,4.0,2.0,0.0,-3.0,255.0,0.0
17.0,18.0,0.5,0.1,0.1,0.1,0.0,170.0,0.94,1.0,1.05,4.04,2.0,0.0,-3.04,259.04,0.0
18.0,18.0,0.5,0.1,0.1,0.1,0.0,170.0,1.0,1.0,1.0,4.09,2.0,0.0,-3.09,262.72,0.0
19.0,18.0,0.5,0.1,0.1,0.1,2.5,167.5,1.05,1.0,0.94,4.13,2.0,1.0,-3.13,258.26,0.01
20.0,18.0,0.5,0.1,0.1,0.1,5.0,165.0,1.11,1.0,0.9,4.16,2.0,1.0,-3.16,253.33,0.02
15.0,19.0,0.5,0.1,0.1,0.1,0.0,180.0,0.78,1.0,1.26,3.94,2.0,0.0,-2.94,265.26,0.0
16.0,19.0,0.5,0.1,0.1,0.1,0.0,180.0,0.84,1.0,1.18,4.0,2.0,0.0,-3.0,270.0,0.0
17.0,19.0,0.5,0.1,0.1,0.1,0.0,180.0,0.89,1.0,1.11,4.04,2.0,0.0,-3.04,274.28,0.0
18.0,19.0,0.5,0.1,0.1,0.1,0.0,180.0,0.94,1.0,1.05,4.09,2.0,0.0,-3.09,278.18,0.0
19.0,19.0,0.5,0.1,0.1,0.1,0.0,180.0,1.0,1.0,1.0,4.13,2.0,0.0,-3.13,281.73,0.0
20.0,19.0,0.5,0.1,0.1,0.1,2.5,177.5,1.05,1.0,0.95,4.16,2.0,1.0,-3.16,277.08,0.01
15.0,20.0,0.5,0.1,0.1,0.1,0.0,190.0,0.75,1.0,1.33,3.94,2.0,0.0,-2.94,279.99,0.0
16.0,20.0,0.5,0.1,0.1,0.1,0.0,190.0,0.8,1.0,1.25,4.0,2.0,0.0,-3.0,285.0,0.0
17.0,20.0,0.5,0.1,0.1,0.1,0.0,190.0,0.85,1.0,1.17,4.04,2.0,0.0,-3.04,289.52,0.0
18.0,20.0,0.5,0.1,0.1,0.1,0.0,190.0,0.9,1.0,1.11,4.09,2.0,0.0,-3.09,293.63,0.0
19.0,20.0,0.5,0.1,0.1,0.1,0.0,190.0,0.95,1.0,1.05,4.13,2.0,0.0,-3.13,297.39,0.0
20.0,20.0,0.5,0.1,0.1,0.1,0.0,190.0,1.0,1.0,1.0,4.16,2.0,0.0,-3.16,300.83,0.0
15.0,15.0,0.7,0.1,0.1,0.1,0.0,140.0,1.0,1.0,1.0,4.99,2.0,0.0,-3.99,279.99,0.0
16.0,15.0,0.7,0.1,0.1,0.1,1.66,138.33,1.06,1.0,0.93,5.09,2.0,1.0,-4.09,279.54,0.01
17.0,15.0,0.7,0.1,0.1,0.1,3.33,136.66,1.13,1.0,0.88,5.17,2.0,1.0,-4.17,278.26,0.02
18.0,15.0,0.7,0.1,0.1,0.1,5.0,135.0,1.2,1.0,0.83,5.25,2.0,1.0,-4.25,276.25,0.03
19.0,15.0,0.7,0.1,0.1,0.1,6.66,133.33,1.26,1.0,0.78,5.31,2.0,1.0,-4.31,273.6,0.04
20.0,15.0,0.7,0.1,0.1,0.1,8.33,131.66,1.33,1.0,0.75,5.38,2.0,1.0,-4.38,270.38,0.05
15.0,16.0,0.7,0.1,0.1,0.1,0.0,150.0,0.93,1.0,1.06,4.99,2.0,0.0,-3.99,299.99,0.0
16.0,16.0,0.7,0.1,0.1,0.1,0.0,150.0,1.0,1.0,1.0,5.09,2.0,0.0,-4.09,306.81,0.0
17.0,16.0,0.7,0.1,0.1,0.1,1.66,148.33,1.06,1.0,0.94,5.17,2.0,1.0,-4.17,306.08,0.01
18.0,16.0,0.7,0.1,0.1,0.1,3.33,146.66,1.12,1.0,0.88,5.25,2.0,1.0,-4.25,304.58,0.02
19.0,16.0,0.7,0.1,0.1,0.1,5.0,145.0,1.18,1.0,0.84,5.31,2.0,1.0,-4.31,302.39,0.03
20.0,16.0,0.7,0.1,0.1,0.1,6.66,143.33,1.25,1.0,0.8,5.38,2.0,1.0,-4.38,299.61,0.04
15.0,17.0,0.7,0.1,0.1,0.1,0.0,160.0,0.88,1.0,1.13,4.99,2.0,0.0,-3.99,319.99,0.0
16.0,17.0,0.7,0.1,0.1,0.1,0.0,160.0,0.94,1.0,1.06,5.09,2.0,0.0,-4.09,327.27,0.0
17.0,17.0,0.7,0.1,0.1,0.1,0.0,160.0,1.0,1.0,1.0,5.17,2.0,0.0,-4.17,333.91,0.0
18.0,17.0,0.7,0.1,0.1,0.1,1.66,158.33,1.05,1.0,0.94,5.25,2.0,1.0,-4.25,332.91,0.01
19.0,17.0,0.7,0.1,0.1,0.1,3.33,156.66,1.11,1.0,0.89,5.31,2.0,1.0,-4.31,331.19,0.02
20.0,17.0,0.7,0.1,0.1,0.1,5.0,155.0,1.17,1.0,0.85,5.38,2.0,1.0,-4.38,328.84,0.03
15.0,18.0,0.7,0.1,0.1,0.1,0.0,170.0,0.83,1.0,1.2,4.99,2.0,0.0,-3.99,339.99,0.0
16.0,18.0,0.7,0.1,0.1,0.1,0.0,170.0,0.88,1.0,1.12,5.09,2.0,0.0,-4.09,347.72,0.0
17.0,18.0,0.7,0.1,0.1,0.1,0.0,170.0,0.94,1.0,1.05,5.17,2.0,0.0,-4.17,354.78,0.0
18.0,18.0,0.7,0.1,0.1,0.1,0.0,170.0,1.0,1.0,1.0,5.25,2.0,0.0,-4.25,361.25,0.0
19.0,18.0,0.7,0.1,0.1,0.1,1.66,168.33,1.05,1.0,0.94,5.31,2.0,1.0,-4.31,359.99,0.0
20.0,18.0,0.7,0.1,0.1,0.1,3.33,166.66,1.11,1.0,0.9,5.38,2.0,1.0,-4.38,358.07,0.01
15.0,19.0,0.7,0.1,0.1,0.1,0.0,180.0,0.78,1.0,1.26,4.99,2.0,0.0,-3.99,359.99,0.0
16.0,19.0,0.7,0.1,0.1,0.1,0.0,180.0,0.84,1.0,1.18,5.09,2.0,0.0,-4.09,368.18,0.0
17.0,19.0,0.7,0.1,0.1,0.1,0.0,180.0,0.89,1.0,1.11,5.17,2.0,0.0,-4.17,375.65,0.0
18.0,19.0,0.7,0.1,0.1,0.1,0.0,180.0,0.94,1.0,1.05,5.25,2.0,0.0,-4.25,382.5,0.0
19.0,19.0,0.7,0.1,0.1,0.1,0.0,180.0,1.0,1.0,1.0,5.31,2.0,0.0,-4.31,388.8,0.0
20.0,19.0,0.7,0.1,0.1,0.1,1.66,178.33,1.05,1.0,0.95,5.38,2.0,1.0,-4.38,387.3,0.0
15.0,20.0,0.7,0.1,0.1,0.1,0.0,190.0,0.75,1.0,1.33,4.99,2.0,0.0,-3.99,380.0,0.0
16.0,20.0,0.7,0.1,0.1,0.1,0.0,190.0,0.8,1.0,1.25,5.09,2.0,0.0,-4.09,388.63,0.0
17.0,20.0,0.7,0.1,0.1,0.1,0.0,190.0,0.85,1.0,1.17,5.17,2.0,0.0,-4.17,396.52,0.0
18.0,20.0,0.7,0.1,0.1,0.1,0.0,190.0,0.9,1.0,1.11,5.25,2.0,0.0,-4.25,403.75,0.0
19.0,20.0,0.7,0.1,0.1,0.1,0.0,190.0,0.95,1.0,1.05,5.31,2.0,0.0,-4.31,410.39,0.0
20.0,20.0,0.7,0.1,0.1,0.1,0.0,190.0,1.0,1.0,1.0,5.38,2.0,0.0,-4.38,416.53,0.0
15.0,15.0,0.9,0.1,0.1,0.1,0.0,140.0,1.0,1.0,1.0,5.86,2.0,0.0,-4.86,340.86,0.0
16.0,15.0,0.9,0.1,0.1,0.1,1.25,138.75,1.06,1.0,0.93,5.99,2.0,1.0,-4.99,343.74,0.0
17.0,15.0,0.9,0.1,0.1,0.1,2.5,137.5,1.13,1.0,0.88,6.12,2.0,1.0,-5.12,345.6,0.01
18.0,15.0,0.9,0.1,0.1,0.1,3.75,136.25,1.2,1.0,0.83,6.23,2.0,1.0,-5.23,346.53,0.02
19.0,15.0,0.9,0.1,0.1,0.1,5.0,135.0,1.26,1.0,0.78,6.33,2.0,1.0,-5.33,346.66,0.03
20.0,15.0,0.9,0.1,0.1,0.1,6.25,133.75,1.33,1.0,0.75,6.42,2.0,1.0,-5.42,346.07,0.04
15.0,16.0,0.9,0.1,0.1,0.1,0.0,150.0,0.93,1.0,1.06,5.86,2.0,0.0,-4.86,365.21,0.0
16.0,16.0,0.9,0.1,0.1,0.1,0.0,150.0,1.0,1.0,1.0,5.99,2.0,0.0,-4.99,375.0,0.0
17.0,16.0,0.9,0.1,0.1,0.1,1.25,148.74,1.06,1.0,0.94,6.12,2.0,1.0,-5.12,377.59,0.0
18.0,16.0,0.9,0.1,0.1,0.1,2.5,147.5,1.12,1.0,0.88,6.23,2.0,1.0,-5.23,379.23,0.01
19.0,16.0,0.9,0.1,0.1,0.1,3.75,146.25,1.18,1.0,0.84,6.33,2.0,1.0,-5.33,380.0,0.02
20.0,16.0,0.9,0.1,0.1,0.1,5.0,145.0,1.25,1.0,0.8,6.42,2.0,1.0,-5.42,380.0,0.03
15.0,17.0,0.9,0.1,0.1,0.1,0.0,160.0,0.88,1.0,1.13,5.86,2.0,0.0,-4.86,389.56,0.0
16.0,17.0,0.9,0.1,0.1,0.1,0.0,160.0,0.94,1.0,1.06,5.99,2.0,0.0,-4.99,400.0,0.0
17.0,17.0,0.9,0.1,0.1,0.1,0.0,159.99,1.0,1.0,1.0,6.12,2.0,0.0,-5.12,409.59,0.0
18.0,17.0,0.9,0.1,0.1,0.1,1.25,158.75,1.05,1.0,0.94,6.23,2.0,1.0,-5.23,411.92,0.0
19.0,17.0,0.9,0.1,0.1,0.1,2.5,157.5,1.11,1.0,0.89,6.33,2.0,1.0,-5.33,413.33,0.01
20.0,17.0,0.9,0.1,0.1,0.1,3.75,156.25,1.17,1.0,0.85,6.42,2.0,1.0,-5.42,413.92,0.02
15.0,18.0,0.9,0.1,0.1,0.1,0.0,170.0,0.83,1.0,1.2,5.86,2.0,0.0,-4.86,413.91,0.0
16.0,18.0,0.9,0.1,0.1,0.1,0.0,170.0,0.88,1.0,1.12,5.99,2.0,0.0,-4.99,425.0,0.0
17.0,18.0,0.9,0.1,0.1,0.1,0.0,170.0,0.94,1.0,1.05,6.12,2.0,0.0,-5.12,435.2,0.0
18.0,18.0,0.9,0.1,0.1,0.1,0.0,170.0,1.0,1.0,1.0,6.23,2.0,0.0,-5.23,444.61,0.0
19.0,18.0,0.9,0.1,0.1,0.1,1.25,168.75,1.05,1.0,0.94,6.33,2.0,1.0,-5.33,446.66,0.0
20.0,18.0,0.9,0.1,0.1,0.1,2.5,167.5,1.11,1.0,0.9,6.42,2.0,1.0,-5.42,447.85,0.01
15.0,19.0,0.9,0.1,0.1,0.1,0.0,180.0,0.78,1.0,1.26,5.86,2.0,0.0,-4.86,438.26,0.0
16.0,19.0,0.9,0.1,0.1,0.1,0.0,180.0,0.84,1.0,1.18,5.99,2.0,0.0,-4.99,450.0,0.0
17.0,19.0,0.9,0.1,0.1,0.1,0.0,180.0,0.89,1.0,1.11,6.12,2.0,0.0,-5.12,460.8,0.0
18.0,19.0,0.9,0.1,0.1,0.1,0.0,180.0,0.94,1.0,1.05,6.23,2.0,0.0,-5.23,470.76,0.0
19.0,19.0,0.9,0.1,0.1,0.1,0.0,180.0,1.0,1.0,1.0,6.33,2.0,0.0,-5.33,480.0,0.0
20.0,19.0,0.9,0.1,0.1,0.1,1.25,178.75,1.05,1.0,0.95,6.42,2.0,1.0,-5.42,481.78,0.0
15.0,20.0,0.9,0.1,0.1,0.1,0.0,190.0,0.75,1.0,1.33,5.86,2.0,0.0,-4.86,462.6,0.0
16.0,20.0,0.9,0.1,0.1,0.1,0.0,190.0,0.8,1.0,1.25,5.99,2.0,0.0,-4.99,475.0,0.0
17.0,20.0,0.9,0.1,0.1,0.1,0.0,190.0,0.85,1.0,1.17,6.12,2.0,0.0,-5.12,486.4,0.0
18.0,20.0,0.9,0.1,0.1,0.1,0.0,190.0,0.9,1.0,1.11,6.23,2.0,0.0,-5.23,496.92,0.0
19.0,20.0,0.9,0.1,0.1,0.1,0.0,190.0,0.95,1.0,1.05,6.33,2.0,0.0,-5.33,506.66,0.0
20.0,20.0,0.9,0.1,0.1,0.1,0.0,190.0,1.0,1.0,1.0,6.42,2.0,0.0,-5.42,515.71,0.0
15.0,15.0,1.0,0.1,0.1,0.1,0.0,140.0,1.0,1.0,1.0,6.24,2.0,0.0,-5.24,367.5,0.0
16.0,15.0,1.0,0.1,0.1,0.1,1.11,138.88,1.06,1.0,0.93,6.4,2.0,1.0,-5.4,372.0,0.0
17.0,15.0,1.0,0.1,0.1,0.1,2.22,137.77,1.13,1.0,0.88,6.53,2.0,1.0,-5.53,375.38,0.01
18.0,15.0,1.0,0.1,0.1,0.1,3.33,136.66,1.2,1.0,0.83,6.66,2.0,1.0,-5.66,377.77,0.02
19.0,15.0,1.0,0.1,0.1,0.1,4.44,135.55,1.26,1.0,0.78,6.78,2.0,1.0,-5.78,379.28,0.03
20.0,15.0,1.0,0.1,0.1,0.1,5.55,134.44,1.33,1.0,0.75,6.89,2.0,1.0,-5.89,380.0,0.03
15.0,16.0,1.0,0.1,0.1,0.1,0.0,150.0,0.93,1.0,1.06,6.24,2.0,0.0,-5.24,393.75,0.0
16.0,16.0,1.0,0.1,0.1,0.1,0.0,150.0,1.0,1.0,1.0,6.4,2.0,0.0,-5.4,405.0,0.0
17.0,16.0,1.0,0.1,0.1,0.1,1.11,148.88,1.06,1.0,0.94,6.53,2.0,1.0,-5.53,409.23,0.0
18.0,16.0,1.0,0.1,0.1,0.1,2.22,147.77,1.12,1.0,0.88,6.66,2.0,1.0,-5.66,412.4,0.01
19.0,16.0,1.0,0.1,0.1,0.1,3.33,146.66,1.18,1.0,0.84,6.78,2.0,1.0,-5.78,414.64,0.02
20.0,16.0,1.0,0.1,0.1,0.1,4.44,145.55,1.25,1.0,0.8,6.89,2.0,1.0,-5.89,416.03,0.02
15.0,17.0,1.0,0.1,0.1,0.1,0.0,160.0,0.88,1.0,1.13,6.24,2.0,0.0,-5.24,420.0,0.0
16.0,17.0,1.0,0.1,0.1,0.1,0.0,160.0,0.94,1.0,1.06,6.4,2.0,0.0,-5.4,432.0,0.0
17.0,17.0,1.0,0.1,0.1,0.1,0.0,160.0,1.0,1.0,1.0,6.53,2.0,0.0,-5.53,443.07,0.0
18.0,17.0,1.0,0.1,0.1,0.1,1.11,158.88,1.05,1.0,0.94,6.66,2.0,1.0,-5.66,447.03,0.0
19.0,17.0,1.0,0.1,0.1,0.1,2.22,157.77,1.11,1.0,0.89,6.78,2.0,1.0,-5.78,450.0,0.01
20.0,17.0,1.0,0.1,0.1,0.1,3.33,156.66,1.17,1.0,0.85,6.89,2.0,1.0,-5.89,452.06,0.02
15.0,18.0,1.0,0.1,0.1,0.1,0.0,170.0,0.83,1.0,1.2,6.24,2.0,0.0,-5.24,446.25,0.0
16.0,18.0,1.0,0.1,0.1,0.1,0.0,170.0,0.88,1.0,1.12,6.4,2.0,0.0,-5.4,459.0,0.0
17.0,18.0,1.0,0.1,0.1,0.1,0.0,170.0,0.94,1.0,1.05,6.53,2.0,0.0,-5.53,470.76,0.0
18.0,18.0,1.0,0.1,0.1,0.1,0.0,170.0,1.0,1.0,1.0,6.66,2.0,0.0,-5.66,481.66,0.0
19.0,18.0,1.0,0.1,0.1,0.1,1.11,168.88,1.05,1.0,0.94,6.78,2.0,1.0,-5.78,485.35,0.0
20.0,18.0,1.0,0.1,0.1,0.1,2.22,167.77,1.11,1.0,0.9,6.89,2.0,1.0,-5.89,488.1,0.01
15.0,19.0,1.0,0.1,0.1,0.1,0.0,180.0,0.78,1.0,1.26,6.24,2.0,0.0,-5.24,472.5,0.0
16.0,19.0,1.0,0.1,0.1,0.1,0.0,180.0,0.84,1.0,1.18,6.4,2.0,0.0,-5.4,486.0,0.0
17.0,19.0,1.0,0.1,0.1,0.1,0.0,180.0,0.89,1.0,1.11,6.53,2.0,0.0,-5.53,498.46,0.0
18.0,19.0,1.0,0.1,0.1,0.1,0.0,180.0,0.94,1.0,1.05,6.66,2.0,0.0,-5.66,510.0,0.0
19.0,19.0,1.0,0.1,0.1,0.1,0.0,180.0,1.0,1.0,1.0,6.78,2.0,0.0,-5.78,520.71,0.0
20.0,19.0,1.0,0.1,0.1,0.1,1.11,178.88,1.05,1.0,0.95,6.89,2.0,1.0,-5.89,524.13,0.0
15.0,20.0,1.0,0.1,0.1,0.1,0.0,190.0,0.75,1.0,1.33,6.24,2.0,0.0,-5.24,498.75,0.0
16.0,20.0,1.0,0.1,0.1,0.1,0.0,190.0,0.8,1.0,1.25,6.4,2.0,0.0,-5.4,513.0,0.0
17.0,20.0,1.0,0.1,0.1,0.1,0.0,190.0,0.85,1.0,1.17,6.53,2.0,0.0,-5.53,526.15,0.0
18.0,20.0,1.0,0.1,0.1,0.1,0.0,190.0,0.9,1.0,1.11,6.66,2.0,0.0,-5.66,538.33,0.0
19.0,20.0,1.0,0.1,0.1,0.1,0.0,190.0,0.95,1.0,1.05,6.78,2.0,0.0,-5.78,549.64,0.0
20.0,20.0,1.0,0.1,0.1,0.1,0.0,190.0,1.0,1.0,1.0,6.89,2.0,0.0,-5.89,560.17,0.0
15.0,15.0,1.5,0.1,0.1,0.1,0.0,140.0,1.0,1.0,1.0,7.75,2.0,0.0,-6.75,473.1,0.0
16.0,15.0,1.5,0.1,0.1,0.1,0.71,139.28,1.06,1.0,0.93,8.0,2.0,0.0,-7.0,485.0,0.0
17.0,15.0,1.5,0.1,0.1,0.1,1.42,138.57,1.13,1.0,0.88,8.22,2.0,1.0,-7.22,495.48,0.01
18.0,15.0,1.5,0.1,0.1,0.1,2.14,137.85,1.2,1.0,0.83,8.43,2.0,1.0,-7.43,504.68,0.01
19.0,15.0,1.5,0.1,0.1,0.1,2.85,137.14,1.26,1.0,0.78,8.63,2.0,1.0,-7.63,512.72,0.02
20.0,15.0,1.5,0.1,0.1,0.1,3.57,136.42,1.33,1.0,0.75,8.82,2.0,1.0,-7.82,519.7,0.02
15.0,16.0,1.5,0.1,0.1,0.1,0.0,150.0,0.93,1.0,1.06,7.75,2.0,0.0,-6.75,506.89,0.0
