r1,r2,a11,a12,a21,a22,N1,N2,FE1,S1,FE2,S2,Rank,Coexist,Asy,cor_sos,Rare,PGR1,PGR2,A1,A2,B,C
20.0,15.0,0.1,0.9,0.3,0.7,0.0,20.0,1.3333333333333333,0.7894736842105263,0.75,0.3448275862068966,2.0,0.0,0.4446460980036297,-4.4464609800362975,0.0,,0.0,True,False,False,False
20.0,15.0,0.1,0.9,0.5,0.7,0.0,20.0,1.3333333333333333,0.7894736842105263,0.75,0.2083333333333333,2.0,0.0,0.581140350877193,-5.81140350877193,0.0,,0.0,True,False,False,False
20.0,15.0,0.3,0.9,0.5,0.7,0.0,20.0,1.3333333333333333,0.7894736842105263,0.75,0.6122448979591836,2.0,0.0,0.1772287862513427,-1.7722878625134275,0.0,,0.0,True,False,False,False
20.0,15.0,0.1,0.9,0.7,0.7,0.0,20.0,1.3333333333333333,0.7894736842105263,0.75,0.1492537313432836,2.0,0.0,0.6402199528672428,-6.402199528672427,0.0,,0.0,True,False,False,False
20.0,15.0,0.3,0.9,0.7,0.7,0.0,20.0,1.3333333333333333,0.7894736842105263,0.75,0.4411764705882353,2.0,0.0,0.348297213622291,-3.4829721362229105,0.0,,0.0,True,False,False,False
20.0,15.0,0.5,0.9,0.7,0.7,0.0,20.0,1.3333333333333333,0.7894736842105263,0.75,0.7246376811594204,2.0,0.0,0.0648360030511059,-0.6483600305110593,0.0,,0.0,True,False,False,False
20.0,15.0,0.1,0.9,0.9,0.7,0.0,20.0,1.3333333333333333,0.7894736842105263,0.75,0.1162790697674418,2.0,0.0,0.6731946144430845,-6.731946144430845,0.0,,0.0,True,False,False,False
20.0,15.0,0.3,0.9,0.9,0.7,0.0,20.0,1.3333333333333333,0.7894736842105263,0.75,0.3448275862068966,2.0,0.0,0.4446460980036297,-4.4464609800362975,0.0,,0.0,True,False,False,False
20.0,15.0,0.5,0.9,0.9,0.7,0.0,20.0,1.3333333333333333,0.7894736842105263,0.75,0.5681818181818181,2.0,0.0,0.2212918660287082,-2.212918660287082,0.0,,0.0,True,False,False,False
20.0,15.0,0.7,0.9,0.9,0.7,0.0,20.0,1.3333333333333333,0.7894736842105263,0.75,0.7865168539325842,2.0,0.0,0.0029568302779421,-0.0295683027794213,0.0,,0.0,True,False,False,False
