r1,r2,a11,a22,a12,a21,N1,N2,Outcome,FE1,FE2,SoS1,SoS2,CA1,CA2,CE1,CE2,CE_outcome,Rank,CoexistRank,Asy,Rare,rarer_SLS,rarer_CLS
15.0,19.0,0.4,0.5,0.3,0.1,9.411800245045988,34.11763788259452,1,0.7894736842105263,1.2666666666666666,1.271186440677966,4.222222222222222,40.4145188432738,80.49844718999243,10.666666666666655,145.0,global_coexistence,2,1,-2.951035781544256,0.2162169017079419,0.8,1.1666666666666667
15.0,20.0,0.4,0.5,0.3,0.1,7.647104713082463,36.47057700693191,1,0.75,1.3333333333333333,1.2096774193548383,4.444444444444445,40.4145188432738,84.970583144992,8.666666666666657,155.0,global_coexistence,2,1,-3.234767025089606,0.173334237315858,0.8,1.1666666666666667
16.0,20.0,0.4,0.5,0.3,0.1,10.588266407077109,35.882344785034164,1,0.8,1.25,1.290322580645161,4.2105263157894735,43.30127018922192,84.970583144992,11.999999999999991,152.5,global_coexistence,2,1,-2.9202037351443124,0.2278486582262672,0.8,1.1666666666666667
15.0,17.0,0.5,0.6,0.4,0.1,7.6923381400323425,25.38460874040511,1,0.8823529411764706,1.1333333333333333,1.2857142857142856,4.473684210526315,31.304951684997057,65.31972647421809,8.333333333333332,132.0,global_coexistence,2,1,-3.187969924812029,0.2325588926885445,0.8333333333333334,1.2857142857142858
15.0,18.0,0.5,0.6,0.4,0.1,6.153889450207691,27.307683417254754,1,0.8333333333333334,1.2,1.2162162162162162,4.7368421052631575,31.304951684997057,69.40220937885671,6.666666666666664,142.0,global_coexistence,2,1,-3.5206258890469413,0.1839091507916427,0.8333333333333334,1.2857142857142858
15.0,19.0,0.5,0.6,0.4,0.1,4.615443804282638,29.23075774931131,1,0.7894736842105263,1.2666666666666666,1.1538461538461535,5.0,31.304951684997057,73.48469228349535,5.0,152.0,global_coexistence,2,1,-3.8461538461538463,0.1363651929146108,0.8333333333333334,1.2857142857142858
15.0,20.0,0.5,0.6,0.4,0.1,3.077024575711988,31.15382749049861,1,0.75,1.3333333333333333,1.097560975609756,5.263157894736842,31.304951684997057,77.56717518813397,3.333333333333332,162.0,global_coexistence,2,1,-4.165596919127085,0.0898903880557893,0.8333333333333334,1.2857142857142858
16.0,18.0,0.5,0.6,0.4,0.1,8.461566605108418,26.92307072871862,1,0.8888888888888888,1.125,1.2972972972972971,4.5,33.54101966249684,69.40220937885671,9.166666666666664,140.0,global_coexistence,2,1,-3.202702702702702,0.2391310818104478,0.8333333333333334,1.2857142857142858
16.0,19.0,0.5,0.6,0.4,0.1,6.92312123504145,28.846144637333083,1,0.8421052631578947,1.1875,1.2307692307692306,4.75,33.54101966249684,73.48469228349535,7.5,150.0,global_coexistence,2,1,-3.519230769230769,0.1935494359806904,0.8333333333333334,1.2857142857142858
16.0,20.0,0.5,0.6,0.4,0.1,5.384672324065408,30.769219557441303,1,0.8,1.25,1.170731707317073,5.0,33.54101966249684,77.56717518813397,5.833333333333332,160.0,global_coexistence,2,1,-3.829268292682927,0.1489375567563655,0.8333333333333334,1.2857142857142858
17.0,19.0,0.5,0.6,0.4,0.1,9.230796674729016,28.461532375250187,1,0.8947368421052632,1.1176470588235294,1.3076923076923077,4.523809523809524,35.77708763999664,73.48469228349535,10.0,148.0,global_coexistence,2,1,-3.216117216117216,0.2448985485213498,0.8333333333333334,1.2857142857142858
17.0,20.0,0.5,0.6,0.4,0.1,7.692349329363539,30.38460663921259,1,0.85,1.1764705882352942,1.2439024390243902,4.761904761904762,35.77708763999664,77.56717518813397,8.333333333333332,158.0,global_coexistence,2,1,-3.5180023228803714,0.202021121008513,0.8333333333333334,1.2857142857142858
15.0,20.0,0.5,0.7000000000000001,0.4,0.1,7.096808626495802,26.12902594570645,1,0.75,1.3333333333333333,1.2650602409638556,5.263157894736842,31.304951684997057,71.81324987175317,7.857142857142861,162.0,global_coexistence,2,1,-3.998097653772986,0.2135930885670877,0.7142857142857142,1.125
15.0,19.0,0.6,0.7000000000000001,0.4,0.1,6.842129953087154,24.7368373287112,1,0.7894736842105263,1.2666666666666666,1.329113924050633,5.7,28.57738033247041,68.0336051416609,9.285714285714288,156.66666666666666,global_coexistence,2,1,-4.370886075949367,0.2166673118861254,0.857142857142857,1.25
15.0,20.0,0.6,0.7000000000000001,0.4,0.1,5.7895085604801375,26.3157830803282,1,0.75,1.3333333333333333,1.2650602409638556,6.0,28.57738033247041,71.81324987175317,7.857142857142861,166.66666666666666,global_coexistence,2,1,-4.734939759036145,0.1803287951797086,0.857142857142857,1.25
16.0,20.0,0.6,0.7000000000000001,0.4,0.1,7.631604762906053,26.05262650786152,1,0.8,1.25,1.349397590361446,5.7142857142857135,30.618621784789728,71.81324987175317,10.35714285714286,165.0,global_coexistence,2,1,-4.364888123924268,0.226563126869665,0.857142857142857,1.25
15.0,20.0,0.7000000000000001,0.8,0.4,0.1,6.923099915509345,22.884611182283702,1,0.75,1.3333333333333333,1.4285714285714286,6.666666666666667,26.457513110645905,67.175144212722,11.25,170.0,global_coexistence,2,1,-5.238095238095238,0.2322586894644832,0.875,1.2222222222222223
15.0,16.0,0.6,0.7000000000000001,0.5,0.1,6.21625082584394,20.54053408839183,1,0.9375,1.0666666666666669,1.2804878048780488,4.8,25.56038601690776,56.69467095138408,6.571428571428573,126.66666666666666,global_coexistence,2,1,-3.5195121951219512,0.2323242813278596,0.857142857142857,1.375
