k,r1,r2,a11,a12,a21,a22,cor_sos,nu_sign,coexist,left_N1_win,right_N1_win,curve_cross
0.25,16.0,15.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
0.25,17.0,15.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
0.25,18.0,15.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
0.25,19.0,15.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
0.25,20.0,15.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
0.25,17.0,16.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
0.25,18.0,16.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
0.25,19.0,16.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
0.25,20.0,16.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
0.25,18.0,17.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
0.25,19.0,17.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
0.25,20.0,17.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
0.25,19.0,18.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
0.25,20.0,18.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
0.25,20.0,19.0,0.1,0.1,0.1,0.1,0.0,zero,0,1,1,0
0.25,15.0,15.0,0.3,0.1,0.1,0.1,115.2941176470588,positive,0,0,0,0
0.25,16.0,15.0,0.3,0.1,0.1,0.1,108.3333333333333,positive,1,1,0,1
0.25,17.0,15.0,0.3,0.1,0.1,0.1,101.05263157894736,positive,1,1,0,1
0.25,18.0,15.0,0.3,0.1,0.1,0.1,93.49999999999996,positive,1,1,1,0
0.25,19.0,15.0,0.3,0.1,0.1,0.1,85.71428571428568,positive,1,1,1,0
0.25,20.0,15.0,0.3,0.1,0.1,0.1,77.7272727272727,positive,1,1,1,0
0.25,15.0,16.0,0.3,0.1,0.1,0.1,123.52941176470588,positive,0,0,0,0
0.25,16.0,16.0,0.3,0.1,0.1,0.1,124.99999999999996,positive,0,0,0,0
0.25,17.0,16.0,0.3,0.1,0.1,0.1,117.89473684210526,positive,1,1,0,1
0.25,18.0,16.0,0.3,0.1,0.1,0.1,110.49999999999996,positive,1,1,0,1
0.25,19.0,16.0,0.3,0.1,0.1,0.1,102.85714285714285,positive,1,1,1,0
0.25,20.0,16.0,0.3,0.1,0.1,0.1,95.0,positive,1,1,1,0
0.25,15.0,17.0,0.3,0.1,0.1,0.1,131.76470588235293,positive,0,0,0,0
0.25,16.0,17.0,0.3,0.1,0.1,0.1,133.3333333333333,positive,0,0,0,0
0.25,17.0,17.0,0.3,0.1,0.1,0.1,134.73684210526315,positive,0,0,0,0
0.25,18.0,17.0,0.3,0.1,0.1,0.1,127.49999999999996,positive,1,1,0,1
0.25,19.0,17.0,0.3,0.1,0.1,0.1,119.99999999999996,positive,1,1,0,1
0.25,20.0,17.0,0.3,0.1,0.1,0.1,112.27272727272728,positive,1,1,0,1
0.25,15.0,18.0,0.3,0.1,0.1,0.1,140.0,positive,0,0,0,0
0.25,16.0,18.0,0.3,0.1,0.1,0.1,141.66666666666663,positive,0,0,0,0
0.25,17.0,18.0,0.3,0.1,0.1,0.1,143.1578947368421,positive,0,0,0,0
0.25,18.0,18.0,0.3,0.1,0.1,0.1,144.49999999999994,positive,0,0,0,0
0.25,19.0,18.0,0.3,0.1,0.1,0.1,137.1428571428571,positive,1,1,0,1
0.25,20.0,18.0,0.3,0.1,0.1,0.1,129.54545454545453,positive,1,1,0,1
0.25,15.0,19.0,0.3,0.1,0.1,0.1,148.23529411764704,positive,0,0,0,0
0.25,16.0,19.0,0.3,0.1,0.1,0.1,149.99999999999994,positive,0,0,0,0
0.25,17.0,19.0,0.3,0.1,0.1,0.1,151.57894736842104,positive,0,0,0,0
0.25,18.0,19.0,0.3,0.1,0.1,0.1,152.99999999999997,positive,0,0,0,0
0.25,19.0,19.0,0.3,0.1,0.1,0.1,154.28571428571425,positive,0,0,0,0
0.25,20.0,19.0,0.3,0.1,0.1,0.1,146.8181818181818,positive,1,1,0,1
0.25,15.0,20.0,0.3,0.1,0.1,0.1,156.47058823529412,positive,0,0,0,0
0.25,16.0,20.0,0.3,0.1,0.1,0.1,158.3333333333333,positive,0,0,0,0
0.25,17.0,20.0,0.3,0.1,0.1,0.1,160.0,positive,0,0,0,0
0.25,18.0,20.0,0.3,0.1,0.1,0.1,161.49999999999997,positive,0,0,0,0
0.25,19.0,20.0,0.3,0.1,0.1,0.1,162.85714285714283,positive,0,0,0,0
0.25,20.0,20.0,0.3,0.1,0.1,0.1,164.0909090909091,positive,0,0,0,0
0.25,15.0,15.0,0.5,0.1,0.1,0.1,206.3157894736842,positive,0,0,0,0
0.25,16.0,15.0,0.5,0.1,0.1,0.1,202.5,positive,1,1,0,1
0.25,17.0,15.0,0.5,0.1,0.1,0.1,198.09523809523807,positive,1,1,0,1
0.25,18.0,15.0,0.5,0.1,0.1,0.1,193.1818181818182,positive,1,1,0,1
0.25,19.0,15.0,0.5,0.1,0.1,0.1,187.82608695652172,positive,1,1,0,1
0.25,20.0,15.0,0.5,0.1,0.1,0.1,182.0833333333333,positive,1,1,0,1
0.25,15.0,16.0,0.5,0.1,0.1,0.1,221.05263157894737,positive,0,0,0,0
0.25,16.0,16.0,0.5,0.1,0.1,0.1,225.0,positive,0,0,0,0
0.25,17.0,16.0,0.5,0.1,0.1,0.1,220.9523809523809,positive,1,1,0,1
0.25,18.0,16.0,0.5,0.1,0.1,0.1,216.3636363636364,positive,1,1,0,1
0.25,19.0,16.0,0.5,0.1,0.1,0.1,211.304347826087,positive,1,1,0,1
0.25,20.0,16.0,0.5,0.1,0.1,0.1,205.8333333333333,positive,1,1,0,1
0.25,15.0,17.0,0.5,0.1,0.1,0.1,235.7894736842105,positive,0,0,0,0
0.25,16.0,17.0,0.5,0.1,0.1,0.1,240.0,positive,0,0,0,0
0.25,17.0,17.0,0.5,0.1,0.1,0.1,243.8095238095238,positive,0,0,0,0
0.25,18.0,17.0,0.5,0.1,0.1,0.1,239.54545454545453,positive,1,1,0,1
0.25,19.0,17.0,0.5,0.1,0.1,0.1,234.7826086956522,positive,1,1,0,1
0.25,20.0,17.0,0.5,0.1,0.1,0.1,229.5833333333333,positive,1,1,0,1
0.25,15.0,18.0,0.5,0.1,0.1,0.1,250.52631578947367,positive,0,0,0,0
0.25,16.0,18.0,0.5,0.1,0.1,0.1,255.0,positive,0,0,0,0
0.25,17.0,18.0,0.5,0.1,0.1,0.1,259.04761904761904,positive,0,0,0,0
0.25,18.0,18.0,0.5,0.1,0.1,0.1,262.72727272727275,positive,0,0,0,0
0.25,19.0,18.0,0.5,0.1,0.1,0.1,258.26086956521743,positive,1,1,0,1
0.25,20.0,18.0,0.5,0.1,0.1,0.1,253.3333333333333,positive,1,1,0,1
0.25,15.0,19.0,0.5,0.1,0.1,0.1,265.2631578947368,positive,0,0,0,0
0.25,16.0,19.0,0.5,0.1,0.1,0.1,270.0,positive,0,0,0,0
0.25,17.0,19.0,0.5,0.1,0.1,0.1,274.2857142857143,positive,0,0,0,0
0.25,18.0,19.0,0.5,0.1,0.1,0.1,278.1818181818182,positive,0,0,0,0
0.25,19.0,19.0,0.5,0.1,0.1,0.1,281.7391304347827,positive,0,0,0,0
0.25,20.0,19.0,0.5,0.1,0.1,0.1,277.08333333333326,positive,1,1,0,1
0.25,15.0,20.0,0.5,0.1,0.1,0.1,279.99999999999994,positive,0,0,0,0
0.25,16.0,20.0,0.5,0.1,0.1,0.1,285.0,positive,0,0,0,0
0.25,17.0,20.0,0.5,0.1,0.1,0.1,289.5238095238095,positive,0,0,0,0
0.25,18.0,20.0,0.5,0.1,0.1,0.1,293.6363636363636,positive,0,0,0,0
0.25,19.0,20.0,0.5,0.1,0.1,0.1,297.3913043478261,positive,0,0,0,0
0.25,20.0,20.0,0.5,0.1,0.1,0.1,300.83333333333326,positive,0,0,0,0
0.25,15.0,15.0,0.7,0.1,0.1,0.1,279.99999999999994,positive,0,0,0,0
0.25,16.0,15.0,0.7,0.1,0.1,0.1,279.5454545454545,positive,1,1,0,1
0.25,17.0,15.0,0.7,0.1,0.1,0.1,278.2608695652174,positive,1,1,0,1
0.25,18.0,15.0,0.7,0.1,0.1,0.1,276.25,positive,1,1,0,1
0.25,19.0,15.0,0.7,0.1,0.1,0.1,273.6,positive,1,1,0,1
0.25,20.0,15.0,0.7,0.1,0.1,0.1,270.38461538461536,positive,1,1,0,1
0.25,15.0,16.0,0.7,0.1,0.1,0.1,299.99999999999994,positive,0,0,0,0
0.25,16.0,16.0,0.7,0.1,0.1,0.1,306.81818181818176,positive,0,0,0,0
0.25,17.0,16.0,0.7,0.1,0.1,0.1,306.08695652173907,positive,1,1,0,1
0.25,18.0,16.0,0.7,0.1,0.1,0.1,304.5833333333333,positive,1,1,0,1
0.25,19.0,16.0,0.7,0.1,0.1,0.1,302.4,positive,1,1,0,1
0.25,20.0,16.0,0.7,0.1,0.1,0.1,299.6153846153845,positive,1,1,0,1
0.25,15.0,17.0,0.7,0.1,0.1,0.1,319.99999999999994,positive,0,0,0,0
0.25,16.0,17.0,0.7,0.1,0.1,0.1,327.2727272727272,positive,0,0,0,0
0.25,17.0,17.0,0.7,0.1,0.1,0.1,333.9130434782609,positive,0,0,0,0
0.25,18.0,17.0,0.7,0.1,0.1,0.1,332.9166666666667,positive,1,1,0,1
0.25,19.0,17.0,0.7,0.1,0.1,0.1,331.19999999999993,positive,1,1,0,1
0.25,20.0,17.0,0.7,0.1,0.1,0.1,328.8461538461538,positive,1,1,0,1
0.25,15.0,18.0,0.7,0.1,0.1,0.1,339.99999999999994,positive,0,0,0,0
0.25,16.0,18.0,0.7,0.1,0.1,0.1,347.72727272727263,positive,0,0,0,0
0.25,17.0,18.0,0.7,0.1,0.1,0.1,354.7826086956522,positive,0,0,0,0
0.25,18.0,18.0,0.7,0.1,0.1,0.1,361.25,positive,0,0,0,0
0.25,19.0,18.0,0.7,0.1,0.1,0.1,359.99999999999994,positive,1,1,0,1
0.25,20.0,18.0,0.7,0.1,0.1,0.1,358.07692307692304,positive,1,1,0,1
0.25,15.0,19.0,0.7,0.1,0.1,0.1,359.99999999999994,positive,0,0,0,0
0.25,16.0,19.0,0.7,0.1,0.1,0.1,368.1818181818181,positive,0,0,0,0
0.25,17.0,19.0,0.7,0.1,0.1,0.1,375.6521739130434,positive,0,0,0,0
0.25,18.0,19.0,0.7,0.1,0.1,0.1,382.5,positive,0,0,0,0
0.25,19.0,19.0,0.7,0.1,0.1,0.1,388.8,positive,0,0,0,0
0.25,20.0,19.0,0.7,0.1,0.1,0.1,387.3076923076922,positive,1,1,0,1
0.25,15.0,20.0,0.7,0.1,0.1,0.1,380.0,positive,0,0,0,0
0.25,16.0,20.0,0.7,0.1,0.1,0.1,388.6363636363636,positive,0,0,0,0
0.25,17.0,20.0,0.7,0.1,0.1,0.1,396.5217391304348,positive,0,0,0,0
0.25,18.0,20.0,0.7,0.1,0.1,0.1,403.75,positive,0,0,0,0
0.25,19.0,20.0,0.7,0.1,0.1,0.1,410.3999999999999,positive,0,0,0,0
0.25,20.0,20.0,0.7,0.1,0.1,0.1,416.5384615384615,positive,0,0,0,0
0.25,15.0,15.0,0.9,0.1,0.1,0.1,340.8695652173913,positive,0,0,0,0
0.25,16.0,15.0,0.9,0.1,0.1,0.1,343.74999999999994,positive,1,1,0,1
0.25,17.0,15.0,0.9,0.1,0.1,0.1,345.6,positive,1,1,0,1
0.25,18.0,15.0,0.9,0.1,0.1,0.1,346.5384615384615,positive,1,1,0,1
0.25,19.0,15.0,0.9,0.1,0.1,0.1,346.66666666666663,positive,1,1,0,1
0.25,20.0,15.0,0.9,0.1,0.1,0.1,346.0714285714286,positive,1,1,0,1
0.25,15.0,16.0,0.9,0.1,0.1,0.1,365.2173913043479,positive,0,0,0,0
0.25,16.0,16.0,0.9,0.1,0.1,0.1,375.0,positive,0,0,0,0
0.25,17.0,16.0,0.9,0.1,0.1,0.1,377.5999999999999,positive,1,1,0,1
0.25,18.0,16.0,0.9,0.1,0.1,0.1,379.2307692307692,positive,1,1,0,1
0.25,19.0,16.0,0.9,0.1,0.1,0.1,380.0,positive,1,1,0,1
0.25,20.0,16.0,0.9,0.1,0.1,0.1,380.0,positive,1,1,0,1
0.25,15.0,17.0,0.9,0.1,0.1,0.1,389.5652173913044,positive,0,0,0,0
0.25,16.0,17.0,0.9,0.1,0.1,0.1,400.0,positive,0,0,0,0
0.25,17.0,17.0,0.9,0.1,0.1,0.1,409.5999999999999,positive,0,0,0,0
0.25,18.0,17.0,0.9,0.1,0.1,0.1,411.9230769230769,positive,1,1,0,1
0.25,19.0,17.0,0.9,0.1,0.1,0.1,413.3333333333333,positive,1,1,0,1
0.25,20.0,17.0,0.9,0.1,0.1,0.1,413.9285714285714,positive,1,1,0,1
0.25,15.0,18.0,0.9,0.1,0.1,0.1,413.9130434782609,positive,0,0,0,0
0.25,16.0,18.0,0.9,0.1,0.1,0.1,425.0,positive,0,0,0,0
0.25,17.0,18.0,0.9,0.1,0.1,0.1,435.2,positive,0,0,0,0
0.25,18.0,18.0,0.9,0.1,0.1,0.1,444.6153846153845,positive,0,0,0,0
0.25,19.0,18.0,0.9,0.1,0.1,0.1,446.6666666666666,positive,1,1,0,1
0.25,20.0,18.0,0.9,0.1,0.1,0.1,447.8571428571429,positive,1,1,0,1
0.25,15.0,19.0,0.9,0.1,0.1,0.1,438.26086956521743,positive,0,0,0,0
0.25,16.0,19.0,0.9,0.1,0.1,0.1,450.0,positive,0,0,0,0
0.25,17.0,19.0,0.9,0.1,0.1,0.1,460.8,positive,0,0,0,0
0.25,18.0,19.0,0.9,0.1,0.1,0.1,470.7692307692307,positive,0,0,0,0
0.25,19.0,19.0,0.9,0.1,0.1,0.1,480.0,positive,0,0,0,0
0.25,20.0,19.0,0.9,0.1,0.1,0.1,481.78571428571433,positive,1,1,0,1
